cluster_id1;macro_cluster
1;3
2;2
3;3
4;3
5;3
6;3
7;3
8;4
9;3
10;2
11;1
12;1
13;3
14;2
15;2
16;3
17;3
18;2
19;3
20;1
21;2
22;1
23;3
24;3
25;3
26;2
27;3
28;3
29;3
30;3
31;2
32;4
33;4
34;4
35;2
36;2
37;3
38;3
39;2
40;2
41;4
42;2
43;3
44;1
45;5
46;5
47;4
48;3
49;4
50;3
51;2
52;2
53;3
54;2
55;3
56;4
57;4
58;2
59;3
60;2
61;4
62;3
63;3
64;2
65;2
66;4
67;5
68;3
69;3
70;2
71;3
72;3
73;2
74;4
75;4
76;4
77;4
78;4
79;2
80;3
81;3
82;2
83;1
84;3
85;3
86;2
87;2
88;3
89;2
90;3
91;2
92;3
93;2
94;2
95;2
96;3
97;2
98;2
99;5
100;2
101;3
102;2
103;3
104;3
105;3
106;2
107;2
108;5
109;3
110;2
111;4
112;3
113;2
114;3
115;2
116;3
117;3
118;2
119;2
120;1
121;3
122;1
123;2
124;3
125;2
126;4
127;2
128;2
129;3
130;2
131;1
132;1
133;2
134;2
135;3
136;2
137;5
138;2
139;1
140;4
141;1
142;2
143;1
144;2
145;1
146;2
147;4
148;3
149;4
150;3
151;2
152;3
153;2
154;1
155;3
156;4
157;3
158;3
159;3
160;3
161;2
162;4
163;3
164;4
165;2
166;3
167;2
168;3
169;2
170;2
171;3
172;3
173;3
174;2
175;1
176;2
177;3
178;5
179;1
180;3
181;4
182;2
183;2
184;3
185;2
186;2
187;3
188;3
189;3
190;3
191;1
192;3
193;2
194;3
195;4
196;4
197;2
198;2
199;3
200;3
201;4
202;4
203;2
204;2
205;2
206;2
207;2
208;4
209;1
210;2
211;3
212;3
213;4
214;2
215;4
216;2
217;2
218;4
219;3
220;3
221;2
222;2
223;2
224;1
225;2
226;3
227;1
228;4
229;3
230;2
231;2
232;2
233;3
234;2
235;4
236;2
237;3
238;3
239;3
240;2
241;3
242;2
243;5
244;2
245;2
246;2
247;2
248;5
249;3
250;2
251;5
252;3
253;2
254;2
255;3
256;2
257;5
258;2
259;3
260;1
261;2
262;2
263;2
264;5
265;4
266;1
267;3
268;2
269;2
270;3
271;2
272;2
273;3
274;2
275;4
276;3
277;2
278;3
279;2
280;4
281;4
282;2
283;3
284;2
285;2
286;1
287;1
288;3
289;5
290;3
291;4
292;3
293;4
294;2
295;2
296;3
297;1
298;5
299;2
300;4
301;2
302;2
303;4
304;2
305;1
306;2
307;3
308;2
309;3
310;1
311;3
312;1
313;4
314;3
315;3
316;4
317;4
318;2
319;2
320;1
321;5
322;1
323;1
324;2
325;2
326;2
327;2
328;2
329;1
330;2
331;2
332;2
333;4
334;5
335;2
336;4
337;2
338;3
339;3
340;2
341;2
342;4
343;4
344;3
345;3
346;2
347;2
348;2
349;2
350;5
351;4
352;2
353;2
354;5
355;4
356;5
357;3
358;4
359;3
360;1
361;4
362;2
363;2
364;5
365;3
366;2
367;4
368;2
369;4
370;3
371;2
372;3
373;1
374;4
375;2
376;2
377;3
378;1
379;4
380;2
381;4
382;5
383;4
384;2
385;5
386;2
387;3
388;4
389;5
390;3
391;4
392;5
393;2
394;2
395;2
396;4
397;2
398;2
399;2
400;5
401;2
402;4
403;4
404;3
405;1
406;2
407;2
408;2
409;3
410;3
411;5
