univ	ut	au	tu_au	lumc_au	leiden_au
leiden univ	000337000400688	7	0	0	1
leiden univ	000331432700002	4	0	0	4
leiden univ	000391801600548	8	0	0	2
leiden univ	000275640200002	3	0	0	1
lumc	000315653000011	8	0	0	1
tu delft	000284750300001	4	4	0	0
leiden univ	000371596500003	4	0	0	4
leiden univ	000288532300041	13	0	0	1
leiden univ	000406444000070	1	0	0	1
tu delft	000393189500001	3	1	0	0
tu delft	000271441100002	3	2	0	0
tu delft	000295979100004	5	2	0	0
tu delft	000342730900002	9	8	0	0
tu delft	000346910100004	2	2	0	0
leiden univ	000361438102315	6	0	0	4
leiden univ	000290788500019	8	0	0	2
leiden univ	000412214100020	6	0	0	0
leiden univ	000292684200013	12	0	0	3
leiden univ	000361653500096	3	0	0	1
leiden univ	000280858300014	3	0	0	3
tu delft	000396893400003	6	2	0	0
leiden univ	000400408800011	2	0	0	2
leiden univ	000367472500004	4	0	0	1
tu delft	000389122100009	11	3	0	0
tu delft	000261658700006	2	1	0	0
leiden univ	000382009500018	8	0	0	1
leiden univ	000292549100014	6	0	0	1
leiden univ	000311983100019	5	0	0	4
leiden univ	000336489000005	9	0	0	4
leiden univ	000331587905130	9	0	0	2
lumc	000259550200015	3	0	0	2
tu delft	000348571200002	6	1	0	0
leiden univ	000265409600008	5	0	0	1
leiden univ	000335639300043	6	0	0	1
leiden univ	000392549000164	15	0	0	3
leiden univ	000314983900008	7	0	0	1
lumc	000284157200024	14	0	0	1
tu delft	000342256100041	3	3	0	0
leiden univ	000298347900005	9	0	0	7
leiden univ	000327253400007	5	0	0	5
tu delft	000284639100022	3	2	0	0
leiden univ	000304456100044	6	0	0	1
leiden univ	000208724400085	15	0	0	3
leiden univ	000302946100001	1	0	0	1
leiden univ	000308428600007	3	0	0	1
leiden univ	000316326600009	5	0	0	4
tu delft	000302093500040	4	1	0	0
leiden univ	000333163200009	11	0	0	4
tu delft	000336620900031	3	1	0	0
leiden univ	000342331400195	10	0	0	7
tu delft	000404997600024	5	1	0	0
tu delft	000403037000017	1	1	0	0
tu delft	000423156900061	3	2	0	0
leiden univ	000375318300047	8	0	0	1
tu delft	000288012200006	6	5	0	0
leiden univ	000298088000013	35	0	0	1
leiden univ	000364144000024	2	0	0	2
tu delft	000342906200036	5	1	0	0
leiden univ	000307847000008	16	0	0	2
leiden univ	000290384700001	4	0	0	4
leiden univ	000402346500010	8	0	0	8
leiden univ	000208702607649	8	0	0	8
leiden univ	000292891600007	8	0	0	1
leiden univ	000347249100014	3	0	0	3
leiden univ	000285683400013	7	0	0	7
leiden univ	000278145000001	17	0	0	1
leiden univ	000260822400024	5	0	0	5
leiden univ	000273676700006	3	0	0	3
leiden univ	000335876200092	5	0	0	5
tu delft	000298203000007	4	3	0	0
tu delft	000383822200013	3	3	0	0
leiden univ	000281531906124	5	0	0	5
leiden univ	000208882100001	1	0	0	1
tu delft	000300863200009	5	2	0	0
leiden univ	000306684600007	4	0	0	2
tu delft	000321147500001	4	1	0	0
leiden univ	000307775000017	17	0	0	1
leiden univ	000403366700035	66	0	0	1
tu delft	000274574300009	7	6	0	0
tu delft	000383275000008	8	2	0	0
tu delft	000267319000019	4	1	0	0
leiden univ	000369554000113	2	0	0	0
tu delft	000313895800010	4	2	0	0
tu delft	000377921600030	2	2	0	0
leiden univ	000340461700003	2	0	0	2
leiden univ	000316989200007	158	0	0	3
leiden univ	000298217600022	1	0	0	1
leiden univ	000255697400009	5	0	0	5
leiden univ	000321521700020	4	1	0	3
tu delft	000347591000003	5	2	0	0
leiden univ	000336494800067	13	0	0	1
tu delft	000358860900004	9	1	0	1
leiden univ	000404815000001	3	0	0	1
tu delft	000351844400019	6	6	0	0
leiden univ	000311487800036	3	0	0	3
leiden univ	000310601200011	4	0	0	1
leiden univ	000385582800222	12	0	0	1
leiden univ	000350820500007	4	0	0	2
leiden univ	000404129300008	29	0	0	2
tu delft	000396611400018	2	2	0	0
tu delft	000399666400009	7	2	0	0
leiden univ	000292043200002	5	0	0	5
tu delft	000299472600005	3	3	0	0
tu delft	000300921700016	5	3	0	0
tu delft	000328392500005	6	4	0	0
leiden univ	000291026900055	4	0	0	1
leiden univ	000413233100013	3	0	0	2
leiden univ	000270586000022	4	0	0	1
leiden univ	000392623300006	1	0	0	1
leiden univ	000304231500017	9	0	0	6
leiden univ	000295005900009	10	0	0	2
tu delft	000257908200012	5	4	0	0
leiden univ	000280098400004	30	0	0	2
leiden univ	000347588100006	1	0	0	1
tu delft	000276802900002	8	2	0	0
leiden univ	000373174900015	8	0	1	1
leiden univ	000399008400013	6	0	0	6
leiden univ	000356607400006	5	0	0	3
tu delft	000366375700043	2	2	0	0
tu delft	000281741600015	5	4	0	0
leiden univ	000357060000010	11	0	0	1
leiden univ	000367179200001	2	0	0	1
leiden univ	000283989800006	4	0	0	3
leiden univ	000278628700030	6	0	0	5
tu delft	000329548200006	4	4	0	0
leiden univ	000397689500001	10	0	0	7
leiden univ	000275732400042	1	0	0	1
leiden univ	000336911100009	6	0	0	5
tu delft	000279836400040	3	3	0	0
leiden univ	000320855700013	6	0	0	6
tu delft	000286156700012	3	1	0	0
leiden univ	000259895000126	5	0	0	1
leiden univ	000366009600001	3	0	0	3
tu delft	000321561204430	1	1	0	0
tu delft	000294034400014	3	1	0	0
tu delft	000268610000026	8	1	0	4
leiden univ	000315308700013	4	0	0	4
tu delft	000330964600009	3	1	0	0
leiden univ	000307059500002	1	0	0	1
tu delft	000346368800043	7	4	0	0
leiden univ	000282563000213	7	0	0	7
leiden univ	000260597400028	5	0	0	2
leiden univ	000305598800011	119	0	0	2
leiden univ	000362891102064	5	0	0	1
lumc	000348593200017	26	0	0	1
leiden univ	000302326700874	5	0	0	3
leiden univ	000410785700001	4	0	0	1
tu delft	000324303604698	4	2	0	0
leiden univ	000338837600013	102	0	0	2
lumc	000340601000038	7	0	0	5
tu delft	000371913100007	3	3	0	0
tu delft	000278263100013	2	1	0	0
leiden univ	000392394600010	4	0	0	4
leiden univ	000306229100008	9	0	0	9
leiden univ	000368691800004	5	0	0	5
leiden univ	000331587901224	13	0	0	8
tu delft	000322554900006	2	2	0	0
leiden univ	000255848400013	10	0	0	1
lumc	000323019700043	8	0	0	4
leiden univ	000347680200015	11	0	0	1
leiden univ	000293840200051	2	0	0	2
tu delft	000207889300006	5	1	0	0
leiden univ	000306278900022	1	0	0	1
leiden univ	000307221100035	5	0	0	1
lumc	000323162800006	8	0	0	8
tu delft	000276630300033	6	1	0	0
leiden univ	000266244000024	4	0	0	1
leiden univ	000335905300062	4	0	0	3
leiden univ	000279529900011	5	0	0	4
leiden univ	000208992800041	6	0	0	2
leiden univ	000260534200026	1	0	0	1
