to	from	weight
17376842	41041437	1
8303005	10761858	1
15563742	16730170	1
13794609	42996937	4
39563642	14476281	3
11594245	862974	1
4081205	27396678	1
41201274	46669665	1
9252658	26321118	2
19228087	8042154	1
7990466	22526226	1
37627357	1721561	4
50396154	15500196	1
14218420	43383961	1
28402546	7962624	8
37079901	17269582	1
26299756	40525315	1
13978777	48584251	1
3271784	1626609	1
14485170	43383961	1
25187840	48609571	1
48209144	22415084	1
7965926	11997841	1
50976908	46986275	8
12705519	49804602	6
40423276	26530291	1
49904430	3275107	1
16053763	32543101	2
36789409	33788660	2
12151129	17032126	1
27490493	4690012	1
21558803	1459585	1
24245763	42461035	1
23590578	14893743	5
8023640	12169030	1
8296843	38724724	1
38025760	29222489	1
31259881	23699878	1
6899116	8501511	1
49804602	1407326	12
44214176	31675876	2
27239385	11591556	1
41492139	15402964	1
9654078	9557261	1
37508293	50472272	2
16705028	33800547	1
22356768	12324596	1
19442884	32079432	1
26907017	46540135	1
45932065	21323143	4
7965926	24066384	1
27038278	1407326	4
36829968	27341417	3
14600871	42683756	1
27341417	37750976	1
49657744	22122362	2
50061356	46946810	1
39770904	40538329	1
16627038	40909582	1
1791959	49392368	2
1251056	11060713	3
10848420	45054057	2
23860647	24284991	2
45785388	6655596	1
30980087	19546260	6
49023491	41243762	4
5293463	42452854	1
49020558	31955763	1
46563622	7965926	13
44147876	23859294	1
23916877	3830385	1
1904543	2986666	1
13712718	7990466	2
42587657	24275562	1
18075357	45717623	1
49598234	46136896	3
51273547	7965926	1
12388103	27916310	2
1368738	13110830	1
24087399	26041806	1
35475084	7965926	9
8959250	8127545	3
33800547	9073299	2
33575570	25270235	6
25214471	3836364	2
27965621	30037555	1
19639091	33488423	2
12691945	41436222	1
31107459	598018	1
46497240	18740699	2
5641040	11897859	2
5881737	42759143	1
43669428	41404379	1
4525418	27656927	1
16800969	27938110	1
14941681	16053763	6
12892815	42270335	3
33112881	51565162	5
4778297	11497323	4
15979128	44327921	1
30289356	31692691	1
41063558	35265681	4
26287660	38019649	2
18740699	23060474	1
1668513	23558924	1
7416283	33892282	6
27265741	7977848	1
11102432	35242612	2
43643809	12126219	1
1364051	7975221	1
41842859	39167907	1
5412117	38940899	1
41365282	37675890	1
7594511	26530615	1
20889594	15902932	1
21009435	27965621	8
43276008	33642640	2
28790787	19702991	1
32853064	6518850	4
37768167	18075357	1
6098318	37116319	1
11652916	1791959	1
32496124	22464194	1
7279683	11673208	1
40046964	22069128	1
28790787	50396154	5
40531502	24488041	1
25898428	22779723	1
41571458	1791959	2
37116603	17452215	1
20742911	13194298	1
49826123	15170269	1
46271996	24501364	1
26097501	14893743	1
45723113	16133671	1
21218086	27790520	3
27403179	16508436	1
17614638	43397020	1
46563622	46529856	1
22414470	17465457	2
41382299	35283296	2
1589375	34283841	1
41242951	2931404	2
15209387	33488423	1
42761296	47073500	1
45116966	22371030	1
3057532	3438618	1
6771414	29234469	3
4707174	43912302	2
33326481	1594954	2
13048179	41004060	4
31950458	25641333	1
19702991	8237590	6
1804907	5641040	1
32762861	11488784	2
46214428	24697037	3
14772367	38196634	1
42103349	44993617	1
43669428	32958442	1
43432776	16105317	1
44903759	27477164	1
37339186	36438329	1
979453	26386591	3
8951050	28726113	1
3049729	51330433	1
16418447	36424168	3
42873039	12466551	1
8330734	43520322	2
4344657	2543951	1
28726113	21265394	1
4616597	8014871	1
38408299	25483199	1
15698572	46913894	9
33800547	6408313	2
38575771	36051981	1
34728015	4583163	2
8329513	44391675	1
38967719	39503295	1
26685038	25542596	1
1791959	18912069	1
10384294	51074917	1
12320598	13100230	1
45057745	20873106	2
28100213	49391538	6
8959250	41028506	2
48503861	42562048	1
44688299	6479596	2
4622579	17971548	1
51098540	21156178	1
2328100	30498598	2
7048447	2757867	1
12169030	9071613	1
8042154	17032126	1
28027050	24097587	1
42461035	7559423	11
22660016	28555855	1
20435115	3588712	7
33443327	12648339	1
1423176	14525365	3
33766499	12680784	1
6765518	5206860	1
45315214	28588562	3
45782475	43639038	1
40538411	14559163	1
30891085	35671022	1
18133422	46531045	2
34217531	14592532	1
17268342	4081205	1
28007960	1696281	2
14456531	27536202	1
22286535	13020740	6
21908506	4769708	2
21311221	38967719	2
32322251	9037225	1
39458475	32853064	2
7584913	18435501	1
5641040	1801068	1
8245170	7603397	1
34855476	47515080	1
36532677	42233430	2
6568046	14779880	1
7445447	20066160	5
6911773	15930744	1
14966817	25763292	1
7594511	42646078	3
1925417	31555571	1
39548131	36402020	1
18116337	4265816	2
3656321	30499797	1
46675841	5790895	5
32334528	48377881	1
4690012	28937724	1
6647301	31536734	1
31944110	34541412	1
39441621	3794595	5
33488423	43230235	3
48430345	7847672	1
25642450	39758190	1
26582831	42270335	3
5926221	22254721	1
15103942	13980863	1
45177272	5021107	1
12100688	37273577	1
38575771	26103497	1
23871986	1626609	2
17276849	3562239	7
2660483	16115922	1
15028543	44987260	1
2397852	33108070	5
15461250	45583221	1
19679953	35461633	4
49957449	31221194	4
51085575	43204348	3
22422173	39586412	4
9155250	42233430	1
13407079	19521885	5
22807793	18133422	1
6371474	49956797	1
28016751	17684100	2
6210815	15565627	1
10034241	27965621	2
40895831	42103349	10
749127	1023857	3
11828168	42678854	7
13738310	44229438	1
24633115	875678	1
39048977	41567461	1
14696334	51304296	1
8834992	11222556	1
39838345	18311464	1
6111285	31375060	1
49393430	25481009	1
32966007	47974333	1
28177520	1928592	1
33575570	14624114	1
1191122	8032943	11
23387922	15306780	1
1795539	47680999	1
45138878	1487705	1
41400702	11941374	1
779669	45323422	1
40436258	41563384	2
1407326	37781160	6
32141806	28007960	2
32421983	7965926	1
42618781	50976908	1
40349110	44031311	3
694923	42562048	1
26587299	4914576	1
24488041	35276460	1
29568025	2512795	2
33661795	27684490	1
2253960	38760275	5
44970306	11972142	1
16441789	14627814	1
27683036	39381565	2
39000985	37781160	1
13738310	28689222	1
28238709	31221195	1
46946810	44770300	4
4755614	1841064	1
32420289	15915945	1
23455795	43230235	1
45384564	14966817	1
20854902	26834224	1
19041665	46946810	4
2433201	4243737	1
25517369	15519318	4
46982903	22076760	3
14666673	11131349	1
31425056	7090388	1
42067314	51374704	1
33908210	40687804	1
15656013	4867079	1
28469491	2660483	1
41720858	26587299	1
29211362	49616897	1
42085507	11969917	1
45138878	37358589	6
27279591	13256105	1
21932225	34266297	1
442426	18733473	2
24017154	27756947	1
44972071	14456531	3
45384564	27477957	5
19896060	9811013	1
35281628	20510754	1
1618060	25120013	2
29131038	2174139	1
8042154	25445042	4
26299756	1003259	1
50472580	40944628	1
42072697	26907017	18
33488423	480781	4
22452718	42085507	1
35872928	19664225	1
11516994	1791959	19
41936365	12107290	2
3057532	40570947	7
38429063	32447467	1
713475	32599417	1
37604151	9246190	3
28744809	7504402	2
45733084	41941182	1
32496790	16697742	5
14154841	22069128	3
49687532	10904074	1
50271527	17228155	1
8959250	10078112	1
15644769	7102143	3
21908506	31560601	2
41360433	46279173	1
1904543	29734141	1
1721561	7462110	6
31259881	12734636	1
19980111	9557261	1
18193745	25753248	1
36597913	37398719	1
45753621	33874066	1
48757922	28468378	1
8830438	35244283	3
31075992	17032126	1
42562048	11487785	4
21127960	23806422	1
19521885	35971648	3
4690012	24809956	1
26175961	19428370	1
4081205	20025657	5
4114573	32774490	1
48939474	28604012	1
17187372	2543951	15
8740070	30016072	1
21864012	46333093	1
40904901	3057532	1
4099723	38191759	3
37936375	44509491	2
38599264	31425056	1
6178782	37610816	1
29363867	21937425	1
35985668	6835359	7
42393837	32334528	1
45475931	40850945	4
5377048	17971548	2
28144780	28644302	1
13020740	29168488	1
21894977	24809956	4
13935331	7440878	1
8537574	35278035	9
46004250	14099874	3
6890926	4583163	2
29955740	6732714	1
45978433	43410612	1
46982903	13684250	8
13407079	34430627	1
45384564	23631746	3
22515150	17105782	5
12705519	1051796	1
5790895	14224665	3
22905053	1841064	2
32762861	12624514	2
36230764	10365531	1
1053906	45357696	1
51507663	34418279	1
4081205	30819069	1
23004332	20101626	2
25661562	28468378	1
22977241	31555571	1
7921298	27631012	10
7847213	9657725	2
2543951	13675328	1
49120002	9516648	1
19022914	32245826	1
51144003	759402	2
49391538	20924881	1
6416368	29211362	1
30154625	20147594	1
20147594	50895936	1
