Source;Target;Weight
3565481;3539920;6
45780237;10967911;1
2967044;23945542;4
34494868;45950938;1
33062769;21831766;3
32752116;14062811;1
25795561;6180765;2
25795561;5797978;5
35952069;39884903;1
22756507;31672461;1
19936939;17441448;1
11076013;50117564;1
40636662;13221683;1
29228000;48202144;3
28956818;7190742;1
6275652;536619;3
4636103;736031;2
12248150;41995198;1
33878533;11565476;3
8277933;13421933;2
6268583;33405184;4
19195653;20593791;1
26172530;31412979;4
18681426;1106092;1
6610967;10967911;1
38281230;2550134;1
15091030;46498386;8
11959313;13175116;1
5838799;27733617;1
8296428;36003886;1
23645827;49897406;1
32543775;29452045;1
30822904;20377382;1
3354824;8663317;1
46789706;19624665;2
33637493;1434027;1
47491586;39119126;1
27853836;5558382;1
36075604;29081480;3
953953;44407496;1
26385723;3125193;2
25189293;14645198;1
30064880;28294255;1
36105142;50974284;1
22627999;25795561;2
40795632;10613843;1
12542346;48251554;2
26437006;1106092;2
47903139;25368012;1
40575458;6140801;2
49897406;23518007;1
9575172;4758625;1
5177735;36003886;1
49810564;32330859;1
9743635;8495275;3
1109363;47444173;1
4248013;33035267;1
30690697;44918935;1
20094699;5304845;1
9451296;46846432;8
988707;50263955;35
25283101;41556528;1
39124464;31847319;1
23861190;26873746;1
16663404;6121371;1
28040536;36417347;1
40851921;631520;3
18247575;21070926;1
16736065;15313743;1
43676528;42843127;1
26161660;6915325;1
25861069;32470012;4
7699679;12041410;2
6822575;36154160;3
29918898;21741295;1
2629536;6511501;1
16732022;40466798;1
22854083;38110500;1
40794487;13413973;2
33445088;29371586;1
19022462;50897988;1
7797285;5870757;4
32453471;31122484;4
44930237;1112735;1
37555500;18247575;3
42372624;46539645;1
13479750;21823410;1
17530402;16465327;3
38050565;7443716;1
11151719;43676528;1
7795267;44161355;1
21448532;10279554;1
26575186;40070096;1
37596090;10443241;1
21223182;23974950;1
14458380;31147600;1
28111449;20749171;1
709042;22932097;1
3425521;37919946;1
51588654;41761670;1
6345495;32593855;48
5333942;12750509;11
37810367;2893500;3
26385723;50336105;1
6340913;30111193;1
13726863;10538520;1
36019369;9942059;1
26094724;14353825;1
20746167;15030401;1
33330164;709042;1
23479571;25930550;1
49114237;32470012;1
39508450;21006217;4
125917;31268155;3
23645827;1276908;4
36579164;14505279;1
15301456;19728099;1
33815397;38371407;1
3228534;18693336;8
37030441;45226167;1
44796735;25981013;1
14458380;50974284;2
17227940;13875145;3
489029;28294255;1
4773509;33326446;9
7819122;16736065;1
9609768;50074568;1
29228000;26512035;1
41612447;30062946;1
13226080;18741828;16
32993093;39413597;1
14645198;37197757;8
10839082;34327285;6
36075604;31250068;1
13098791;34195534;3
37501393;3693449;1
4109964;45950938;22
34711546;27408986;13
23124766;25639487;1
13378282;12750509;8
17386871;23868851;1
32986743;47381014;1
33594433;25551232;1
10345609;26734187;1
10871106;47594536;1
11959313;29554569;1
47188425;841770;2
37516034;14353825;1
36331093;14645198;1
38371407;23278735;3
44120171;40151615;10
12542346;19691806;1
11558169;14088581;2
2114312;26172509;1
1643072;3354824;2
45950938;31122484;62
35312034;3523526;1
28865793;50018130;1
31122484;43074581;5
16264619;579504;1
41871519;27099522;1
45972351;34265171;1
39908851;40227358;1
31412980;39589644;3
25843443;7942232;3
7443782;21006217;1
49897406;27770191;1
29452045;43676528;2
49916704;28278905;1
7599317;37573284;1
31122484;15384792;1
6345495;25639487;5
36033207;35425351;5
782887;50230657;1
49724834;1081700;3
39531245;50917786;1
33405184;38467919;1
13723604;36033207;1
13805210;12038256;1
25415562;27923718;1
18113209;45836883;1
45764666;45840225;1
21041247;7761807;1
4626254;4248013;2
11466752;35096079;1
31920409;18263646;1
23637253;5219245;1
35861399;16736065;1
45344928;24690368;1
17446849;25816015;1
36177577;30324899;1
471895;3397657;1
14984110;42687407;1
9278044;14899655;1
1050773;51493329;1
