Id;Label;Age;Pubs
5829;5829;0;1
8327;8327;16;39
39235;39235;8;18
39788;39788;0;1
45176;45176;5;8
93821;93821;0;1
98098;98098;0;1
113264;113264;3;7
121258;121258;34;91
122946;122946;11;15
125917;125917;23;111
128401;128401;6;6
132068;132068;26;135
137314;137314;0;1
138705;138705;0;2
151376;151376;0;2
153806;153806;20;48
154223;154223;10;7
154902;154902;4;8
154911;154911;0;1
155017;155017;6;10
156531;156531;0;1
157019;157019;7;7
160180;160180;8;2
167732;167732;30;179
170592;170592;1;6
177592;177592;3;4
180819;180819;8;6
183551;183551;0;3
202214;202214;1;5
210326;210326;0;2
211304;211304;12;53
211728;211728;5;5
212565;212565;0;1
212566;212566;0;1
229008;229008;6;18
244977;244977;7;10
252801;252801;0;1
260933;260933;0;1
262176;262176;0;1
263825;263825;0;1
276157;276157;0;1
305242;305242;3;17
331845;331845;0;1
344358;344358;9;22
347857;347857;17;63
350612;350612;6;5
351368;351368;0;1
365456;365456;6;6
367771;367771;0;1
379512;379512;10;2
395612;395612;0;2
400761;400761;4;3
407249;407249;2;8
413532;413532;5;2
413781;413781;0;1
416744;416744;23;49
440164;440164;25;329
450110;450110;2;3
453449;453449;7;3
453869;453869;5;4
456922;456922;27;48
456938;456938;34;128
459822;459822;7;9
460136;460136;3;9
460829;460829;1;2
471895;471895;30;51
478466;478466;3;11
488610;488610;1;3
488617;488617;1;2
488777;488777;16;24
489029;489029;1;2
490819;490819;7;14
532269;532269;4;2
532460;532460;12;22
532464;532464;1;2
532470;532470;0;1
536619;536619;3;6
543624;543624;0;1
564591;564591;4;8
573672;573672;5;5
576341;576341;0;1
579504;579504;11;10
588465;588465;1;2
590897;590897;4;10
596015;596015;2;2
598002;598002;3;4
626060;626060;1;3
630748;630748;0;1
631520;631520;17;6
650714;650714;6;25
668389;668389;6;15
669910;669910;0;1
680576;680576;6;13
680991;680991;0;2
692279;692279;22;54
692657;692657;0;1
696942;696942;19;97
704369;704369;6;5
706376;706376;0;1
708063;708063;1;2
708505;708505;3;5
709042;709042;29;98
711885;711885;0;1
711969;711969;15;345
719236;719236;0;1
721024;721024;0;1
722225;722225;0;1
736031;736031;11;20
750758;750758;13;21
764726;764726;0;3
767328;767328;24;74
775862;775862;9;66
777123;777123;28;93
778558;778558;0;1
782887;782887;37;123
782888;782888;29;42
788888;788888;13;29
799122;799122;8;24
807859;807859;2;2
813913;813913;0;1
816082;816082;31;33
817706;817706;15;6
841605;841605;6;9
841770;841770;10;32
841805;841805;24;37
847553;847553;31;151
851087;851087;2;4
854871;854871;0;1
855752;855752;23;52
865749;865749;0;1
875402;875402;6;14
880057;880057;35;177
881664;881664;8;9
892636;892636;8;8
893363;893363;6;4
902117;902117;1;4
904589;904589;11;37
911948;911948;11;12
915129;915129;8;16
953953;953953;9;24
954411;954411;7;18
957494;957494;8;8
960261;960261;2;3
963928;963928;0;1
965706;965706;0;1
966708;966708;3;5
967417;967417;12;43
979113;979113;16;27
980450;980450;4;13
982945;982945;0;1
988707;988707;38;360
990189;990189;0;1
1002125;1002125;4;12
1005166;1005166;0;1
1005909;1005909;5;4
1010531;1010531;9;22
1010532;1010532;26;70
1016520;1016520;0;1
1016742;1016742;0;1
1017762;1017762;1;2
1034786;1034786;13;56
1049778;1049778;0;1
1050773;1050773;35;178
1054694;1054694;3;6
1081700;1081700;31;111
1081808;1081808;19;52
1086329;1086329;31;237
1091052;1091052;4;8
1099448;1099448;1;2
1099449;1099449;6;10
1106092;1106092;14;32
1107916;1107916;1;3
1109363;1109363;4;5
1109866;1109866;7;10
1110110;1110110;0;1
1110265;1110265;8;11
1110764;1110764;0;1
1112735;1112735;22;78
1114993;1114993;5;6
1122907;1122907;0;1
1125401;1125401;7;15
1127408;1127408;0;1
1135490;1135490;0;2
1135931;1135931;0;1
1149560;1149560;32;201
1149562;1149562;17;81
1149782;1149782;31;229
1149922;1149922;11;14
1150156;1150156;28;32
1150560;1150560;5;4
1165147;1165147;8;5
1165366;1165366;5;5
1165519;1165519;22;20
1179340;1179340;14;61
1179934;1179934;3;3
1179944;1179944;0;1
1180549;1180549;0;1
1193477;1193477;34;49
1199948;1199948;11;31
1207708;1207708;1;4
1209671;1209671;25;5
1213037;1213037;3;7
1214163;1214163;11;31
1214263;1214263;0;1
1214397;1214397;25;81
1217951;1217951;0;2
1218857;1218857;6;72
1220476;1220476;0;1
1231742;1231742;29;15
1233121;1233121;35;186
1235815;1235815;0;1
1251469;1251469;0;1
1265992;1265992;13;12
1275304;1275304;22;38
1276908;1276908;18;115
1296325;1296325;10;25
1299260;1299260;7;7
1301997;1301997;0;2
1311359;1311359;0;1
1317324;1317324;0;1
1317426;1317426;0;1
1319216;1319216;0;1
1319537;1319537;0;1
1320530;1320530;0;1
1321089;1321089;0;1
1322085;1322085;0;1
1322389;1322389;0;1
1322747;1322747;0;1
1355043;1355043;7;22
1358091;1358091;0;1
1367414;1367414;15;11
1372652;1372652;6;17
1394815;1394815;2;6
1402534;1402534;1;7
1425346;1425346;10;12
1425906;1425906;14;12
1425907;1425907;7;12
1427902;1427902;0;2
1433197;1433197;24;46
1434027;1434027;0;1
1434984;1434984;0;1
1434986;1434986;0;1
1454296;1454296;0;1
1464155;1464155;34;305
1464998;1464998;9;10
1465631;1465631;0;1
1481785;1481785;15;4
1482327;1482327;27;109
1487978;1487978;5;3
1494189;1494189;24;28
1505002;1505002;4;8
1505040;1505040;5;23
1505537;1505537;30;130
1511175;1511175;0;1
1538158;1538158;9;52
1557989;1557989;4;3
1558598;1558598;7;12
1561529;1561529;2;2
1567128;1567128;2;6
1589751;1589751;23;19
1603631;1603631;26;34
1604105;1604105;2;2
1613898;1613898;0;1
1622557;1622557;1;3
1629436;1629436;6;6
1636352;1636352;7;9
1643072;1643072;37;343
1643080;1643080;0;1
1650282;1650282;21;5
1650830;1650830;5;16
1668888;1668888;1;2
1669805;1669805;6;4
1670215;1670215;5;9
1676133;1676133;0;2
1685938;1685938;0;1
1689535;1689535;17;114
1706829;1706829;7;18
1714400;1714400;25;6
1716761;1716761;0;1
1720234;1720234;4;7
1722841;1722841;4;12
1726856;1726856;37;279
1727534;1727534;8;17
1728001;1728001;18;51
1733431;1733431;26;157
1734432;1734432;1;2
1736216;1736216;26;126
1744797;1744797;12;38
1744819;1744819;16;26
1744823;1744823;0;2
1748060;1748060;9;10
1748219;1748219;27;20
1750310;1750310;32;87
1755854;1755854;0;1
1760957;1760957;0;1
1763821;1763821;0;1
1769939;1769939;5;3
1791387;1791387;1;3
1825735;1825735;28;97
1832035;1832035;0;1
1840530;1840530;19;23
1844201;1844201;0;1
1849924;1849924;18;38
1849932;1849932;11;17
1851923;1851923;0;1
1858964;1858964;7;7
1869666;1869666;0;1
1872092;1872092;14;144
1891062;1891062;4;6
1898449;1898449;5;11
1902452;1902452;0;1
1902728;1902728;1;2
1907936;1907936;10;36
1914752;1914752;2;3
1918569;1918569;0;2
1921228;1921228;15;52
1935116;1935116;0;1
1936674;1936674;22;38
1954816;1954816;0;1
1996385;1996385;2;3
2008995;2008995;21;31
2080649;2080649;35;216
2080782;2080782;0;1
2081803;2081803;10;18
2081947;2081947;6;13
2108882;2108882;4;3
2109059;2109059;0;1
2113704;2113704;3;4
2113706;2113706;0;1
2114312;2114312;0;1
2116679;2116679;0;1
2118470;2118470;6;11
2118584;2118584;6;5
2118893;2118893;0;1
2123044;2123044;3;2
2124751;2124751;1;5
2130567;2130567;13;26
2133471;2133471;0;1
2140082;2140082;0;1
2161723;2161723;10;45
2174144;2174144;2;2
2180440;2180440;13;17
2197416;2197416;14;38
2198924;2198924;0;1
2205717;2205717;8;15
2225505;2225505;9;20
2238431;2238431;25;53
2244620;2244620;4;5
2244778;2244778;6;5
2245712;2245712;32;25
2257755;2257755;12;41
2257760;2257760;0;1
2259723;2259723;3;8
2264662;2264662;2;3
2266146;2266146;1;2
2267514;2267514;16;11
2273951;2273951;0;1
2288648;2288648;0;1
2291086;2291086;29;26
2295134;2295134;29;25
2297959;2297959;8;18
2298055;2298055;2;3
2305198;2305198;33;66
2306654;2306654;4;3
2306740;2306740;5;10
2309613;2309613;2;4
2309615;2309615;0;1
2316055;2316055;12;42
2317412;2317412;2;4
2322783;2322783;7;17
2322785;2322785;0;1
2328114;2328114;6;15
2329041;2329041;1;2
2336679;2336679;8;42
2339902;2339902;8;24
2340110;2340110;1;2
2346308;2346308;0;1
2348116;2348116;11;7
2349502;2349502;19;33
2352001;2352001;0;1
2355733;2355733;0;1
2357390;2357390;3;5
2376145;2376145;0;1
2378888;2378888;0;1
2379617;2379617;0;1
2397678;2397678;5;3
2410454;2410454;0;3
2416724;2416724;10;36
2429946;2429946;0;1
2438798;2438798;7;4
2441384;2441384;12;14
2444837;2444837;2;3
2444844;2444844;0;1
2451641;2451641;5;11
2459233;2459233;1;2
2459397;2459397;31;129
2472430;2472430;0;1
2472431;2472431;0;1
2474202;2474202;0;2
2474278;2474278;34;89
2478615;2478615;0;1
2479234;2479234;1;2
2481083;2481083;0;1
2492623;2492623;0;3
2494038;2494038;5;24
2495920;2495920;4;9
2497192;2497192;0;2
2500674;2500674;6;4
2501045;2501045;0;1
2502858;2502858;32;68
2512846;2512846;2;3
2513389;2513389;0;1
2516230;2516230;27;45
2517397;2517397;8;19
2519188;2519188;0;1
2528874;2528874;10;50
2532878;2532878;15;23
2545709;2545709;29;376
2546549;2546549;12;26
2550114;2550114;22;44
2550134;2550134;17;90
2550157;2550157;12;37
2550166;2550166;0;2
2550167;2550167;5;3
2550551;2550551;0;1
2550561;2550561;0;1
2550593;2550593;0;1
2550620;2550620;0;1
2554306;2554306;0;1
2561295;2561295;0;1
2563097;2563097;0;1
2568144;2568144;12;13
2599332;2599332;0;1
2599741;2599741;0;1
2600258;2600258;0;1
2626562;2626562;12;32
2628430;2628430;14;130
2629536;2629536;31;142
2631141;2631141;2;4
2631743;2631743;11;31
2631744;2631744;9;7
2632367;2632367;6;5
2635454;2635454;6;5
2659717;2659717;0;1
2664710;2664710;0;1
2677926;2677926;0;1
2678137;2678137;0;1
2678167;2678167;0;1
2678718;2678718;0;1
2678860;2678860;0;1
2680858;2680858;0;1
2682687;2682687;0;1
2682797;2682797;0;1
2684159;2684159;0;1
2684696;2684696;0;1
2685606;2685606;0;1
2686913;2686913;0;1
2692291;2692291;0;1
2698035;2698035;4;12
2705312;2705312;0;1
2706424;2706424;30;254
2709733;2709733;0;1
2711569;2711569;4;6
2720338;2720338;0;1
2722770;2722770;4;9
2726380;2726380;15;13
2737736;2737736;30;219
2743111;2743111;5;15
2744755;2744755;10;17
2748878;2748878;18;16
2752298;2752298;0;1
2755611;2755611;4;9
2755613;2755613;5;3
2763827;2763827;16;143
2779875;2779875;5;9
2780489;2780489;0;1
2784162;2784162;6;8
2791192;2791192;3;4
2791351;2791351;6;6
2796452;2796452;3;4
2798360;2798360;3;9
2805031;2805031;36;47
2815656;2815656;35;135
2816137;2816137;10;33
2816138;2816138;2;2
2817975;2817975;0;1
2823829;2823829;3;4
2825414;2825414;0;1
2828633;2828633;0;1
2831654;2831654;0;1
2836021;2836021;20;7
2838113;2838113;6;3
2838114;2838114;0;1
2843948;2843948;10;30
2844394;2844394;9;21
2844562;2844562;21;21
2845754;2845754;0;1
2846118;2846118;1;3
2861352;2861352;12;6
2887641;2887641;0;1
2888825;2888825;0;1
2890367;2890367;4;8
2890960;2890960;5;7
2893500;2893500;34;291
2895973;2895973;34;195
2896946;2896946;6;11
2912494;2912494;10;36
2912495;2912495;3;8
2924238;2924238;38;330
2924431;2924431;38;144
2930034;2930034;8;9
2932441;2932441;4;7
2934571;2934571;5;10
2944194;2944194;13;13
2946489;2946489;2;3
2947201;2947201;5;11
2967044;2967044;22;137
2968125;2968125;20;11
2973478;2973478;2;4
2977414;2977414;5;6
2981843;2981843;11;18
2981869;2981869;17;110
2985235;2985235;2;4
2986889;2986889;0;1
2986890;2986890;0;1
2986891;2986891;0;1
2988744;2988744;13;10
2992981;2992981;6;15
2996880;2996880;6;19
3000980;3000980;4;3
3006842;3006842;35;216
3013935;3013935;5;4
3017618;3017618;30;34
3019177;3019177;27;76
3024781;3024781;5;12
3049059;3049059;0;1
3049940;3049940;17;20
3049943;3049943;0;1
3061503;3061503;27;26
3061729;3061729;26;27
3061851;3061851;0;1
3063709;3063709;8;6
3074682;3074682;0;1
3084840;3084840;4;13
3087074;3087074;28;218
3087668;3087668;17;3
3088013;3088013;1;7
3098749;3098749;3;3
3100617;3100617;7;4
3104657;3104657;5;7
3108235;3108235;0;1
3114399;3114399;1;2
3122411;3122411;20;30
3123766;3123766;10;96
3124703;3124703;11;128
3125193;3125193;4;5
3127147;3127147;25;127
3127149;3127149;4;21
3127183;3127183;0;1
3139183;3139183;25;203
3142250;3142250;0;1
3152017;3152017;34;11
3153463;3153463;0;1
3153631;3153631;14;18
3155444;3155444;8;11
3155682;3155682;8;5
3162447;3162447;0;1
3163063;3163063;5;7
3168581;3168581;7;2
3180777;3180777;8;9
3186212;3186212;13;4
3187089;3187089;2;15
3187495;3187495;17;95
3195550;3195550;18;12
3195829;3195829;2;3
3198278;3198278;13;12
3201837;3201837;6;19
3202986;3202986;9;47
3212984;3212984;0;1
3216153;3216153;0;1
3228534;3228534;22;29
3230011;3230011;0;1
3230528;3230528;0;1
3230529;3230529;0;1
3236937;3236937;3;3
3241374;3241374;22;52
3242994;3242994;35;39
3242995;3242995;0;1
3250774;3250774;0;1
3254928;3254928;13;19
3261643;3261643;5;8
3279298;3279298;0;1
3284300;3284300;0;1
3284962;3284962;28;140
3285688;3285688;27;81
3288295;3288295;0;1
3288444;3288444;24;55
3304899;3304899;8;9
3319266;3319266;0;1
3321016;3321016;11;12
3323911;3323911;10;21
3350221;3350221;0;1
3354824;3354824;26;1046
3358552;3358552;23;76
3363177;3363177;6;3
3365682;3365682;12;9
3365686;3365686;12;23
3372167;3372167;12;26
3386756;3386756;33;59
3387463;3387463;15;2
3388373;3388373;9;14
3397657;3397657;6;23
3419496;3419496;19;16
3425521;3425521;8;18
3425617;3425617;19;106
3427551;3427551;4;4
3434017;3434017;0;1
3439050;3439050;6;3
3442759;3442759;0;1
3442887;3442887;18;45
3445125;3445125;31;85
3450065;3450065;5;14
3453367;3453367;0;1
3456686;3456686;1;4
3470924;3470924;4;6
3477068;3477068;0;1
3477614;3477614;10;5
3483039;3483039;7;6
3492892;3492892;2;3
3502984;3502984;3;6
3515137;3515137;7;23
3520529;3520529;24;57
3523526;3523526;2;12
3524221;3524221;33;214
3528676;3528676;12;57
3533087;3533087;4;10
3539920;3539920;17;237
3547950;3547950;26;23
3555179;3555179;10;21
3556154;3556154;4;2
3565481;3565481;8;29
3566842;3566842;0;1
3585611;3585611;7;11
3588100;3588100;8;7
3589232;3589232;6;15
3590071;3590071;15;39
3597306;3597306;18;7
3599831;3599831;17;33
3608036;3608036;0;1
3619330;3619330;23;35
3638147;3638147;7;10
3643678;3643678;0;1
3643727;3643727;5;2
3647418;3647418;6;8
3649074;3649074;5;7
3660219;3660219;3;3
3665549;3665549;20;45
3667925;3667925;0;2
3677162;3677162;7;15
3682786;3682786;4;8
3684566;3684566;7;5
3687687;3687687;2;8
3693261;3693261;25;61
3693449;3693449;2;5
3699116;3699116;0;1
3699245;3699245;4;2
3699948;3699948;7;4
3700704;3700704;11;15
3731570;3731570;4;4
3736366;3736366;29;27
3740662;3740662;7;4
3741227;3741227;20;98
3742334;3742334;8;5
3747216;3747216;4;3
3748779;3748779;0;1
3750525;3750525;6;7
3758734;3758734;0;1
3759495;3759495;0;1
3762338;3762338;4;8
3772821;3772821;2;4
3773778;3773778;10;34
3774256;3774256;38;178
3774368;3774368;0;2
3774369;3774369;1;2
3785792;3785792;15;31
3794594;3794594;27;58
3801781;3801781;37;260
3811421;3811421;1;2
3812488;3812488;3;7
3818386;3818386;0;1
3819617;3819617;22;6
3821091;3821091;0;1
3822617;3822617;2;3
3822618;3822618;0;2
3824175;3824175;3;2
3836987;3836987;0;1
3839273;3839273;0;1
3839594;3839594;9;13
3874940;3874940;0;1
3892194;3892194;8;6
3893001;3893001;9;26
