Source;Target;Weight
39508450;93078;1
41141625;93078;1
12093861;93705;1
37744606;93705;1
38216809;93705;1
153806;97501;1
957494;97501;1
21185057;97501;1
39508450;97501;1
41141625;97501;1
5752015;128401;1
18691057;128401;1
34642601;128401;1
6109235;132068;1
7480887;132068;1
8955414;132068;1
36579164;132068;1
46604332;132068;1
97501;153806;1
957494;153806;1
21185057;153806;1
39508450;153806;1
41141625;153806;1
40694226;157918;1
19932336;167732;1
50257786;167732;1
13686247;177628;1
19324715;177628;1
20045383;177628;2
30866021;177628;3
2893500;246056;1
4193961;246056;1
5164832;246056;1
6604442;246056;1
6671607;246056;5
7046453;246056;3
8221078;246056;3
8688188;246056;3
11873619;246056;1
12688064;246056;1
13191950;246056;1
13864205;246056;1
29026423;246056;1
33192759;246056;1
34068895;246056;2
35232009;246056;1
38354070;246056;1
41141625;246056;1
42811948;246056;3
50825063;246056;1
50974284;246056;1
6671607;263388;1
33234275;263388;1
34068895;263388;1
35232009;263388;1
6671607;267977;1
33234275;267977;1
34068895;267977;1
50825063;267977;1
6671607;275224;1
13864205;275224;1
33707968;275224;1
3586587;338573;5
5229945;338573;1
7030970;338573;1
17236328;338573;1
18008718;338573;1
19912905;338573;1
22459643;338573;1
23839390;338573;1
28954952;338573;3
29222799;338573;1
29915596;338573;1
30608590;338573;1
32395018;338573;1
38506293;338573;2
39669368;338573;1
43037079;338573;1
45803701;338573;1
49594513;338573;1
50088835;338573;1
4312754;361584;1
9259686;361584;1
11497031;361584;1
15653135;361584;1
963273;386506;7
2306293;386506;3
3030217;386506;1
3793121;386506;1
8112709;386506;2
17642086;386506;1
18475174;386506;1
19984917;386506;1
22443471;386506;1
22459643;386506;1
25501410;386506;3
26529288;386506;1
26782385;386506;1
34514834;386506;2
34894292;386506;1
37359778;386506;3
42558525;386506;1
46035716;386506;3
47915463;386506;1
18510420;407249;1
20512490;412137;1
32498553;412137;1
33382030;412137;4
32368265;416744;1
34571827;416744;1
44361395;467141;2
48923227;467141;2
49599832;467141;2
12802416;478466;5
11785367;543528;1
18770193;543528;1
25283580;543528;1
29081231;543528;1
44041198;543528;1
45095777;543528;1
4246687;553005;1
13665018;553005;3
16548023;553005;1
27512920;553005;2
40844955;553005;4
47502265;553005;1
19898171;614773;1
21951640;614773;1
40107045;614773;1
9857709;621497;1
45969764;621497;1
50088835;621497;2
816954;693783;1
26608359;693783;1
40821843;693783;1
963273;701174;5
3250640;701174;8
3741358;701174;1
4831544;701174;33
5241677;701174;1
7682884;701174;32
7781257;701174;20
8646048;701174;3
8762171;701174;12
10092289;701174;2
10371526;701174;1
12929436;701174;43
14115988;701174;11
14344686;701174;18
14833721;701174;8
16756429;701174;14
18087508;701174;1
18851813;701174;1
19271777;701174;1
19416691;701174;1
21720647;701174;4
22427217;701174;1
23053444;701174;10
23059564;701174;2
23598652;701174;4
24550941;701174;89
24981638;701174;1
25283580;701174;1
25386056;701174;9
25501410;701174;3
26371559;701174;2
26529288;701174;3
28734465;701174;19
31797328;701174;4
33010232;701174;1
33197301;701174;24
33484425;701174;2
34514834;701174;3
35239052;701174;3
35413158;701174;3
37155744;701174;1
