Id;Label;Age;Pubs
31672461;31672461;6;6
47845593;47845593;2;2
21028057;21028057;7;5
9857709;9857709;9;20
40651731;40651731;3;4
8622440;8622440;8;16
6142275;6142275;23;96
25816807;25816807;0;1
6226924;6226924;13;47
17594612;17594612;6;2
35663540;35663540;20;102
49708139;49708139;3;3
28681514;28681514;9;8
26158354;26158354;7;6
34621110;34621110;0;1
25444144;25444144;0;1
45339143;45339143;34;130
51504167;51504167;9;18
14873082;14873082;4;5
48889042;48889042;0;1
3153443;3153443;0;2
41063405;41063405;0;1
42891466;42891466;3;3
2081803;2081803;10;18
46455355;46455355;19;77
9881810;9881810;0;1
36331093;36331093;6;29
34471735;34471735;2;3
9278044;9278044;19;26
16785271;16785271;50;292
26385723;26385723;19;257
7698548;7698548;16;29
48925070;48925070;35;189
7846332;7846332;23;26
49294215;49294215;2;2
33558839;33558839;12;8
5337209;5337209;29;124
4032604;4032604;8;5
18087508;18087508;10;31
14060498;14060498;0;1
12663246;12663246;1;4
37190796;37190796;29;21
33245148;33245148;10;28
32131041;32131041;3;2
42423580;42423580;3;10
12761332;12761332;35;66
23034216;23034216;19;15
13665018;13665018;17;57
34145366;34145366;4;14
10884613;10884613;2;6
26597789;26597789;11;27
43477239;43477239;0;1
48824659;48824659;0;1
4808956;4808956;5;16
8223583;8223583;2;4
2493655;2493655;5;19
42588373;42588373;1;2
13295835;13295835;35;388
3576754;3576754;6;23
14485155;14485155;32;68
35447788;35447788;6;12
25861069;25861069;27;168
10808951;10808951;34;20
20379401;20379401;5;3
45130696;45130696;15;18
34331031;34331031;7;5
40653858;40653858;17;26
15980897;15980897;32;233
34319318;34319318;2;5
30693201;30693201;2;6
23576295;23576295;6;12
18580314;18580314;0;1
46055151;46055151;3;5
20007501;20007501;18;96
34642601;34642601;31;489
2816137;2816137;10;33
17476170;17476170;1;4
21185057;21185057;37;344
16074039;16074039;0;1
47690008;47690008;11;51
45628824;45628824;0;1
8112709;8112709;11;28
1392589;1392589;14;22
50257786;50257786;12;23
25843722;25843722;0;1
28345203;28345203;0;1
16931164;16931164;2;12
35232009;35232009;19;30
11078926;11078926;1;3
24810370;24810370;6;5
39803474;39803474;14;33
34260479;34260479;0;1
47224027;47224027;8;18
35603634;35603634;0;1
24002815;24002815;3;2
49761072;49761072;4;2
43389764;43389764;14;104
39627444;39627444;0;1
36029432;36029432;12;25
8965516;8965516;0;1
20648418;20648418;0;1
43266365;43266365;7;19
48380755;48380755;0;2
36269928;36269928;5;18
39531245;39531245;4;9
10899975;10899975;9;2
33379101;33379101;7;19
17367220;17367220;10;53
17223335;17223335;1;4
46596338;46596338;13;21
42233526;42233526;22;39
39370258;39370258;2;2
31610608;31610608;0;1
5523223;5523223;0;1
35413158;35413158;1;4
4822487;4822487;5;6
26237034;26237034;0;1
15090419;15090419;34;177
27392977;27392977;2;5
27227520;27227520;4;5
32825952;32825952;3;5
23786074;23786074;23;111
6531653;6531653;34;212
47874704;47874704;1;2
957494;957494;8;8
15493597;15493597;0;1
12531778;12531778;2;8
2165430;2165430;11;51
31012131;31012131;15;43
44767419;44767419;1;10
27777884;27777884;0;2
48992837;48992837;1;6
45794112;45794112;0;1
49599930;49599930;4;15
24639367;24639367;9;17
34672467;34672467;5;10
10092289;10092289;1;5
13092871;13092871;0;1
14431331;14431331;32;314
29198963;29198963;9;23
19416691;19416691;3;6
22459643;22459643;8;5
3450065;3450065;5;14
6307462;6307462;2;3
40922335;40922335;0;1
18703004;18703004;4;3
3904602;3904602;18;24
31186551;31186551;8;16
23531510;23531510;7;5
38542640;38542640;24;125
48028407;48028407;25;34
48028934;48028934;2;3
48275512;48275512;0;1
693783;693783;11;7
35646072;35646072;16;23
48923856;48923856;0;1
3211416;3211416;0;1
49077479;49077479;4;14
21189048;21189048;0;1
27270007;27270007;6;14
9264872;9264872;1;3
46389906;46389906;0;2
27091180;27091180;26;186
28996584;28996584;11;11
30134982;30134982;0;1
31565870;31565870;0;1
10645795;10645795;0;1
15917084;15917084;4;7
23059564;23059564;1;2
46233299;46233299;21;39
31993867;31993867;0;1
3794594;3794594;27;58
19898580;19898580;3;4
10087847;10087847;0;2
3405462;3405462;0;1
25981013;25981013;34;1097
18884668;18884668;0;1
14353825;14353825;26;145
35429215;35429215;0;1
19324715;19324715;0;1
11996706;11996706;0;1
38370952;38370952;16;27
36569357;36569357;0;1
18885511;18885511;0;1
14775895;14775895;5;6
26315146;26315146;0;1
30444959;30444959;8;28
9724845;9724845;8;24
21311267;21311267;5;17
40626458;40626458;1;2
35239052;35239052;7;29
45329493;45329493;17;62
43383772;43383772;0;1
51495321;51495321;11;30
37193958;37193958;0;1
22768471;22768471;13;39
28547734;28547734;2;2
23598652;23598652;7;26
18169484;18169484;30;236
38024559;38024559;0;1
22773592;22773592;0;1
42565573;42565573;20;122
19095726;19095726;8;22
3456627;3456627;6;18
27531115;27531115;10;21
14621584;14621584;0;1
9707902;9707902;2;5
43036809;43036809;23;27
7776005;7776005;1;2
4373010;4373010;6;18
4175630;4175630;26;125
33613873;33613873;9;11
41983444;41983444;31;55
29455135;29455135;32;189
5818873;5818873;9;20
32474351;32474351;0;1
18027876;18027876;0;3
34618241;34618241;0;1
26394749;26394749;0;2
38167601;38167601;0;1
25812570;25812570;0;1
35552449;35552449;2;6
23264393;23264393;8;16
25800788;25800788;0;1
45742663;45742663;7;13
24119192;24119192;2;6
25782104;25782104;0;1
40029195;40029195;9;10
46251408;46251408;9;19
42558525;42558525;8;50
49790818;49790818;4;9
18881849;18881849;0;1
46076577;46076577;0;1
34528998;34528998;14;11
49490152;49490152;19;44
22421292;22421292;0;1
5324868;5324868;8;7
21120158;21120158;4;10
10101194;10101194;5;9
33028010;33028010;17;138
26973191;26973191;5;6
48980164;48980164;1;2
9599188;9599188;0;1
27512920;27512920;16;32
14507247;14507247;0;1
32338287;32338287;8;20
3778633;3778633;7;15
39512298;39512298;8;18
27854953;27854953;9;19
38739019;38739019;0;1
