Source;Target;Weight
2430495;123899;1
51361331;123899;1
440164;142369;1
19867449;142369;1
27033442;142369;1
34218180;142369;1
767328;153805;2
31922818;153805;1
35405510;153805;1
38155524;153805;1
27457255;160180;1
353348;333740;4
532464;333740;1
3590071;333740;1
7814328;333740;6
10323199;333740;1
17296857;333740;3
28449422;333740;1
30511487;333740;4
30690285;333740;1
35671468;333740;1
36871407;333740;8
39010878;333740;1
47207948;333740;6
50356306;333740;1
31223011;342143;1
440164;344358;1
33643536;344358;1
36495447;344358;1
42988716;344358;1
333740;353348;4
3590071;353348;1
7814328;353348;5
21312875;353348;1
30511487;353348;4
36871407;353348;5
47207948;353348;4
416744;412137;1
552730;412137;1
17956759;412137;1
20512490;412137;3
24680316;412137;5
24924332;412137;1
27667329;412137;1
33415864;412137;1
40932225;412137;1
47288445;412137;1
51290349;412137;1
412137;416744;1
552730;416744;6
2495241;416744;1
10904547;416744;1
11068232;416744;1
12173828;416744;1
34571827;416744;1
50407240;416744;1
51290349;416744;1
142369;440164;1
344358;440164;1
1149562;440164;1
3425617;440164;1
4583474;440164;1
6398438;440164;1
6481973;440164;1
10460030;440164;1
11618648;440164;1
11786388;440164;1
14984110;440164;2
18853759;440164;1
19245246;440164;1
19867449;440164;1
22940864;440164;2
23217243;440164;1
23256847;440164;1
23905982;440164;1
25369930;440164;1
25924247;440164;1
26631063;440164;1
27033442;440164;32
27603060;440164;1
27633050;440164;1
28207599;440164;4
33409048;440164;1
33643536;440164;1
34218180;440164;7
36495447;440164;1
37091541;440164;2
38545025;440164;1
40653858;440164;1
41278472;440164;4
41811651;440164;1
42122765;440164;1
42687407;440164;2
42850454;440164;1
42988716;440164;1
45757088;440164;1
47815625;440164;1
47860480;440164;2
48024164;440164;3
27351175;472619;1
27667329;472619;2
23076457;497801;1
5278796;532460;1
25346656;532460;1
28148757;532460;2
29659557;532460;2
30149275;532460;2
34499508;532460;1
47207948;532460;1
50117564;532460;1
333740;532464;1
10323199;532464;1
17296857;532464;1
28449422;532464;1
30690285;532464;1
35671468;532464;1
36871407;532464;1
39010878;532464;1
47207948;532464;1
50356306;532464;1
8844786;542827;2
36461651;542827;1
47557740;542827;3
412137;552730;1
416744;552730;6
27667329;552730;1
49790818;552730;1
904589;590638;1
2259316;590638;1
10623782;590638;1
13097324;590638;1
15091042;590638;1
20746167;590638;1
22178895;590638;1
22672511;590638;1
27086190;590638;1
27756834;590638;1
33594433;590638;1
44491073;590638;1
48409515;590638;1
35581903;592954;4
40653858;592954;4
696942;598002;1
598002;696942;1
2459397;696942;2
5146490;696942;1
6783060;696942;2
12705455;696942;1
13632434;696942;2
16173787;696942;1
22517889;696942;1
23264393;696942;2
24174383;696942;1
24585366;696942;2
26354432;696942;3
27051207;696942;1
31518219;696942;2
33409048;696942;3
34642681;696942;2
37085691;696942;1
