Id;Label;Age;Pubs
9193935;9193935;0;1
21640763;21640763;5;3
41739968;41739968;10;18
40151615;40151615;20;178
44190223;44190223;1;2
32021780;32021780;14;154
29420263;29420263;2;4
35874376;35874376;1;5
42523832;42523832;1;2
29398246;29398246;12;9
16006114;16006114;0;2
18028259;18028259;12;41
17277819;17277819;0;1
10509709;10509709;2;2
19923038;19923038;0;1
50456911;50456911;17;32
3552927;3552927;0;1
17837477;17837477;6;4
13014529;13014529;0;1
123898;123898;0;1
11065923;11065923;7;4
24968127;24968127;0;1
45459758;45459758;9;67
42114710;42114710;2;4
35532637;35532637;0;1
41687179;41687179;6;9
17112231;17112231;3;4
51149397;51149397;6;5
10321571;10321571;20;198
50407240;50407240;15;22
3285036;3285036;0;1
48080222;48080222;0;1
10442967;10442967;7;10
46455355;46455355;19;77
26647204;26647204;11;15
14137365;14137365;5;6
17601032;17601032;2;5
21318034;21318034;2;4
14690707;14690707;8;27
34001160;34001160;0;1
2242653;2242653;21;9
30512541;30512541;12;11
19973184;19973184;2;3
42998131;42998131;6;4
17560622;17560622;2;8
47234802;47234802;0;1
31083525;31083525;1;2
50596212;50596212;9;34
35331919;35331919;20;21
36240411;36240411;3;2
10156104;10156104;3;3
11618648;11618648;0;1
17027549;17027549;1;6
9848622;9848622;0;1
46062274;46062274;7;4
44491073;44491073;0;1
26085409;26085409;0;1
18849915;18849915;3;2
10172665;10172665;38;298
440164;440164;25;329
12071549;12071549;0;1
26406609;26406609;9;10
32584199;32584199;11;6
31123958;31123958;0;1
40046535;40046535;8;27
20423789;20423789;13;6
1898625;1898625;0;1
44928478;44928478;0;1
10904547;10904547;36;29
38104094;38104094;9;29
8113069;8113069;8;9
47557740;47557740;13;13
29297482;29297482;9;35
28963350;28963350;0;1
14147386;14147386;1;3
51507132;51507132;21;21
18187514;18187514;7;5
1664426;1664426;0;1
36243041;36243041;0;1
25448879;25448879;4;5
29479396;29479396;1;2
24528813;24528813;0;1
17619157;17619157;0;1
37678254;37678254;5;6
32122994;32122994;5;3
10460030;10460030;16;26
47727194;47727194;5;7
6306275;6306275;11;13
41278472;41278472;7;8
15037237;15037237;1;2
20746167;20746167;36;1365
5902583;5902583;6;6
23379402;23379402;0;1
42850454;42850454;3;6
21015427;21015427;6;9
35671468;35671468;33;55
3319664;3319664;0;1
35875615;35875615;36;58
20046648;20046648;38;58
1725506;1725506;14;11
44320176;44320176;14;24
31410599;31410599;0;1
15069269;15069269;0;1
7158242;7158242;18;124
28910060;28910060;18;115
34992720;34992720;13;12
31419973;31419973;16;29
27721570;27721570;9;27
40802382;40802382;13;28
14811890;14811890;7;8
10137083;10137083;21;25
31700316;31700316;0;2
2164078;2164078;0;1
14226177;14226177;0;1
33269719;33269719;0;1
46141878;46141878;19;21
34575754;34575754;0;1
19481551;19481551;7;10
5278796;5278796;26;307
48552789;48552789;2;2
20154842;20154842;1;2
19273593;19273593;23;16
43852079;43852079;5;8
32076167;32076167;2;2
3278842;3278842;0;1
34000544;34000544;0;1
10980586;10980586;9;10
33209862;33209862;0;1
11077725;11077725;8;9
532460;532460;12;22
25924247;25924247;1;6
45784576;45784576;23;37
27051207;27051207;0;1
11534494;11534494;0;1
28863758;28863758;7;17
8728702;8728702;0;1
34759769;34759769;2;5
43309140;43309140;26;6
12812538;12812538;32;380
50488951;50488951;14;7
6346899;6346899;12;11
11786388;11786388;4;4
3087074;3087074;28;218
24205093;24205093;11;13
45841977;45841977;0;1
23371719;23371719;0;1
31450152;31450152;0;1
3122286;3122286;16;19
14871151;14871151;8;11
27667329;27667329;16;48
49092596;49092596;18;149
2197416;2197416;14;38
767328;767328;24;74
14690709;14690709;0;1
37521340;37521340;3;2
33830438;33830438;0;1
45944775;45944775;16;15
40828672;40828672;1;2
11599020;11599020;22;94
22042724;22042724;7;5
18764960;18764960;1;5
40938787;40938787;16;10
8367417;8367417;11;52
41663580;41663580;34;17
23365939;23365939;6;15
29620307;29620307;0;1
27605030;27605030;0;1
10390693;10390693;0;1
19867449;19867449;12;35
9961121;9961121;5;3
7945469;7945469;4;6
49512559;49512559;26;86
43336620;43336620;8;21
18249931;18249931;27;35
11523181;11523181;0;2
17224810;17224810;3;5
33100062;33100062;0;1
12340587;12340587;7;7
1931976;1931976;17;4
8122767;8122767;7;13
50760180;50760180;23;26
35535441;35535441;0;1
44880975;44880975;0;1
13690504;13690504;0;1
19813021;19813021;0;1
23596904;23596904;10;7
4730361;4730361;0;1
21192192;21192192;5;15
21117170;21117170;0;1
3618040;3618040;0;1
13091620;13091620;4;9
26354432;26354432;7;13
20381744;20381744;19;41
6322528;6322528;27;213
18665923;18665923;0;1
17101871;17101871;8;8
9464165;9464165;1;2
50117773;50117773;11;29
7373168;7373168;0;1
34976263;34976263;20;71
3597444;3597444;0;1
542827;542827;20;27
19417504;19417504;4;4
47307467;47307467;8;14
32549187;32549187;0;1
46210959;46210959;0;1
12987354;12987354;11;24
27775751;27775751;16;111
22672511;22672511;36;153
42301389;42301389;9;6
48207290;48207290;0;1
41611985;41611985;5;5
26007041;26007041;9;6
17491209;17491209;3;8
