Id;Label;Age;Pubs
87304;87304;0;1
199823;199823;0;1
297772;297772;0;1
351769;351769;20;13
375901;375901;8;12
459957;459957;3;6
488820;488820;0;1
488844;488844;0;1
495734;495734;0;1
561597;561597;1;2
587051;587051;0;1
598018;598018;38;240
612732;612732;5;15
709049;709049;0;1
749127;749127;0;3
779196;779196;2;2
779669;779669;6;2
805693;805693;12;15
814018;814018;1;4
823759;823759;8;19
924280;924280;0;1
928220;928220;0;1
931635;931635;29;93
969535;969535;21;59
979453;979453;9;39
1010450;1010450;8;13
1023857;1023857;41;215
1051796;1051796;16;34
1075737;1075737;0;1
1149569;1149569;4;9
1176303;1176303;35;65
1285728;1285728;6;6
1296328;1296328;7;3
1404557;1404557;4;7
1408767;1408767;11;19
1434983;1434983;0;1
1478446;1478446;7;21
1486054;1486054;0;1
1487246;1487246;13;25
1535769;1535769;1;2
1594954;1594954;12;35
1600218;1600218;3;5
1791959;1791959;23;96
1867853;1867853;0;1
1897714;1897714;0;3
1961072;1961072;12;3
1964069;1964069;33;90
2128159;2128159;13;32
2174139;2174139;13;93
2253960;2253960;35;120
2263878;2263878;2;2
2325879;2325879;0;1
2353618;2353618;3;8
2382511;2382511;0;1
2391509;2391509;0;1
2398006;2398006;4;6
2479649;2479649;0;1
2558746;2558746;0;1
2580732;2580732;0;1
2581430;2581430;0;1
2660483;2660483;0;2
2721613;2721613;4;9
2981120;2981120;31;134
2996909;2996909;10;24
3039442;3039442;2;5
3056605;3056605;7;4
3099406;3099406;11;15
3159874;3159874;19;48
3212044;3212044;0;1
3253446;3253446;0;1
3327157;3327157;12;13
3379361;3379361;6;7
3379967;3379967;7;16
3410832;3410832;14;57
3563111;3563111;0;1
3567062;3567062;11;15
3642687;3642687;4;5
3740076;3740076;16;29
3743770;3743770;10;9
3751170;3751170;11;32
3794595;3794595;19;90
3809439;3809439;9;10
3928429;3928429;0;1
4012843;4012843;2;5
4012920;4012920;0;1
4035788;4035788;0;1
4104924;4104924;10;9
4128208;4128208;0;2
4143208;4143208;10;14
4151183;4151183;13;13
4265816;4265816;13;11
4381090;4381090;3;7
4382039;4382039;12;11
4429074;4429074;0;2
4518146;4518146;34;24
4633414;4633414;0;1
4641931;4641931;11;11
4649772;4649772;19;146
4726853;4726853;8;5
4778297;4778297;5;12
4785541;4785541;0;1
4842134;4842134;36;36
4914576;4914576;0;1
5076066;5076066;0;1
5088948;5088948;4;11
5155657;5155657;4;8
5184126;5184126;4;11
5206860;5206860;2;6
5252009;5252009;3;2
5292666;5292666;5;11
5326718;5326718;0;1
5431000;5431000;2;3
5437202;5437202;4;10
5534462;5534462;6;10
5542836;5542836;22;65
5556380;5556380;0;1
5582835;5582835;7;6
5863880;5863880;29;18
5885514;5885514;1;4
5939630;5939630;0;2
6050550;6050550;3;8
6111285;6111285;8;24
6136225;6136225;2;2
