Id;Label;age;n_pubs
1804138;1804138;0;1
1715319;1715319;6;5
1626609;1626609;36;50
1623274;1623274;0;1
1589375;1589375;10;7
1883016;1883016;0;1
1808161;1808161;0;1
1752142;1752142;0;1
1668513;1668513;19;14
1251056;1251056;6;11
930478;930478;2;2
915127;915127;0;1
805693;805693;12;15
779721;779721;2;7
713475;713475;0;1
1137957;1137957;0;1
915064;915064;1;2
860379;860379;0;1
835447;835447;0;1
488825;488825;0;1
376049;376049;1;3
635599;635599;23;42
375901;375901;8;12
1804115;1804115;0;1
1233737;1233737;0;1
1208451;1208451;0;1
1170480;1170480;9;13
847696;847696;18;2
749127;749127;0;3
655036;655036;21;27
561597;561597;1;2
488844;488844;0;1
467705;467705;0;1
286810;286810;0;1
203899;203899;9;3
1879453;1879453;0;1
1879092;1879092;0;1
1825346;1825346;0;1
1809036;1809036;0;1
1808166;1808166;0;1
1803720;1803720;0;1
928220;928220;0;1
780643;780643;5;7
764831;764831;0;1
640532;640532;2;3
636847;636847;22;70
598018;598018;38;240
495734;495734;0;1
1803723;1803723;0;1
1793765;1793765;17;5
1791959;1791959;23;96
1744895;1744895;0;1
1738981;1738981;22;85
1600218;1600218;3;5
1586695;1586695;2;2
1211920;1211920;3;3
1176303;1176303;35;65
931635;931635;29;93
781840;781840;4;7
646217;646217;0;1
1803188;1803188;0;1
1753754;1753754;25;26
1745432;1745432;0;1
1718322;1718322;0;1
1696281;1696281;3;5
1216282;1216282;4;5
874276;874276;14;19
862895;862895;0;1
789044;789044;1;2
772279;772279;0;1
701502;701502;0;1
480781;480781;7;12
478443;478443;0;1
459957;459957;3;6
430911;430911;0;1
1879000;1879000;2;3
1841064;1841064;11;8
1718167;1718167;4;5
1710765;1710765;0;1
1258636;1258636;1;3
1219217;1219217;5;10
1204813;1204813;8;10
868475;868475;0;1
847690;847690;16;7
752791;752791;0;2
672110;672110;6;4
612732;612732;5;15
532462;532462;4;4
488824;488824;0;1
351584;351584;12;22
2012642;2012642;2;2
2113845;2113845;8;5
1999867;1999867;5;3
1964069;1964069;33;90
1573974;1573974;2;5
1571702;1571702;13;18
1529320;1529320;8;9
1478446;1478446;7;21
1459585;1459585;0;1
1444552;1444552;0;1
1436330;1436330;5;2
1406741;1406741;0;1
1330306;1330306;0;1
1286845;1286845;0;1
1274679;1274679;35;71
1109361;1109361;8;19
135810;135810;0;1
98174;98174;0;1
1519619;1519619;0;1
1504998;1504998;20;60
1446037;1446037;0;1
1404557;1404557;4;7
992126;992126;0;1
1928592;1928592;0;3
3379967;3379967;7;16
2109387;2109387;0;1
1803265;1803265;0;1
1800826;1800826;0;1
1800457;1800457;0;1
1633834;1633834;0;1
1422536;1422536;3;4
1420985;1420985;0;1
1285728;1285728;6;6
1064006;1064006;0;1
1031331;1031331;2;3
980459;980459;12;15
2267738;2267738;0;1
2305609;2305609;2;2
2503699;2503699;0;1
239659;239659;3;8
104228;104228;0;1
1933444;1933444;0;1
1296328;1296328;7;3
2816096;2816096;4;4
138246;138246;2;5
1942919;1942919;14;44
1573975;1573975;0;1
366117;366117;0;1
142554;142554;9;34
133900;133900;6;9
77442;77442;0;1
1961072;1961072;12;3
2003322;2003322;10;27
1534338;1534338;15;9
1518575;1518575;21;28
1513797;1513797;0;1
1426040;1426040;0;1
1426023;1426023;0;1
1394954;1394954;6;8
1302081;1302081;0;2
2543951;2543951;14;23
960262;960262;3;3
278429;278429;0;1
240793;240793;0;1
95910;95910;0;1
82274;82274;0;1
1802120;1802120;0;1
2479193;2479193;24;31
1563466;1563466;0;1
1534218;1534218;0;1
1465630;1465630;0;1
1426054;1426054;0;1
1425905;1425905;11;5
1412403;1412403;37;73
1299929;1299929;0;1
1023857;1023857;41;215
2345981;2345981;0;1
2408728;2408728;3;2
2445119;2445119;9;9
1314196;1314196;0;1
2479649;2479649;0;1
2580564;2580564;6;21
2704306;2704306;5;5
2859219;2859219;0;2
2893258;2893258;0;1
2989511;2989511;0;1
2991919;2991919;1;4
3006468;3006468;1;2
3030866;3030866;10;8
3178138;3178138;0;2
3192542;3192542;0;2
963027;963027;1;4
2029102;2029102;0;1
2427758;2427758;2;7
2843698;2843698;2;4
2986008;2986008;24;59
3022404;3022404;29;8
3049729;3049729;0;2
3106354;3106354;0;1
3129399;3129399;0;1
3173152;3173152;28;17
3191618;3191618;2;6
2295613;2295613;21;16
3752155;3752155;0;2
3815896;3815896;0;1
2341406;2341406;0;2
4027861;4027861;0;3
2598228;2598228;0;1
2660713;2660713;3;3
2796622;2796622;11;55
2812766;2812766;0;1
2836379;2836379;4;3
2873565;2873565;0;1
3199240;3199240;5;4
3212044;3212044;0;1
3865250;3865250;0;1
3876881;3876881;0;1
2523418;2523418;3;3
2791361;2791361;0;1
3049869;3049869;0;1
2109082;2109082;0;1
2047996;2047996;0;1
2128159;2128159;13;32
2155685;2155685;2;2
2216192;2216192;4;5
1554555;1554555;0;1
1407326;1407326;11;112
1300341;1300341;4;7
2294179;2294179;0;1
2353618;2353618;3;8
2398006;2398006;4;6
1075450;1075450;0;1
1050950;1050950;5;11
951817;951817;0;1
2470056;2470056;4;12
2576966;2576966;0;1
2924064;2924064;0;1
2924525;2924525;0;1
3057532;3057532;37;148
3327160;3327160;0;1
3367195;3367195;1;3
1987985;1987985;0;1
2149568;2149568;2;5
2256426;2256426;0;1
2403030;2403030;0;2
2405159;2405159;9;11
2405668;2405668;1;2
1451813;1451813;0;1
1392426;1392426;0;1
1376273;1376273;0;1
1295987;1295987;15;33
2537430;2537430;0;1
2587291;2587291;1;2
1130569;1130569;0;1
1126496;1126496;2;2
3401839;3401839;37;59
2174139;2174139;13;93
2215670;2215670;6;8
2340327;2340327;0;2
2382511;2382511;0;1
986514;986514;2;4
951545;951545;28;26
2701641;2701641;2;2
2747674;2747674;7;13
2469668;2469668;4;2
3529719;3529719;1;2
1521583;1521583;0;1
1409043;1409043;36;88
1364051;1364051;2;11
1352538;1352538;5;2
2547729;2547729;0;1
2550488;2550488;0;1
2911349;2911349;0;1
2947288;2947288;8;7
2978731;2978731;4;4
3117686;3117686;26;248
3185676;3185676;7;10
3821621;3821621;1;3
2974467;2974467;9;13
3001975;3001975;0;1
3084986;3084986;8;3
3099407;3099407;0;1
1038258;1038258;32;63
955381;955381;0;1
2970456;2970456;0;1
3185678;3185678;0;1
2479291;2479291;0;1
3479552;3479552;0;1
4171429;4171429;0;1
2484205;2484205;4;3
2534594;2534594;34;103
3734265;3734265;3;5
1486054;1486054;0;1
4028605;4028605;3;6
2792666;2792666;0;1
2975585;2975585;0;1
2986666;2986666;0;2
3120266;3120266;4;12
3126835;3126835;0;1
3131698;3131698;36;57
3191560;3191560;1;2
