Source;Target;Weight
13728492;49179;1
30819069;49179;1
37675890;49179;2
1450690;77442;1
15405165;77442;1
31130137;77442;1
1450690;82274;1
15405165;82274;1
31130137;82274;1
15405165;83328;1
1450690;84675;1
5431000;84675;1
15405165;84675;1
15405165;90610;1
30819069;90610;1
5431000;95910;1
15405165;95910;1
31130137;95910;1
38481653;95910;1
7553648;138246;5
9704546;138246;2
10121684;138246;1
12182274;138246;1
12249015;138246;2
17465457;138246;1
21908506;138246;2
22414470;138246;2
24660626;138246;2
6318608;142358;1
5010138;142554;4
7965926;142554;6
24179286;142554;1
26907017;142554;4
35080568;142554;1
3423931;156976;1
4649772;156976;1
29715407;156976;1
2353618;168143;1
21577092;168143;1
31965149;168143;1
480781;176533;3
1392426;176533;1
2012157;176533;1
2479193;176533;2
6765415;176533;1
10843591;176533;1
12892815;176533;6
13758669;176533;1
15861643;176533;2
18009407;176533;3
20935368;176533;3
21530899;176533;1
22730920;176533;1
24233775;176533;21
25346655;176533;1
25380980;176533;29
25727202;176533;3
29113203;176533;3
32756804;176533;1
33488423;176533;10
33831172;176533;5
33831436;176533;2
37326273;176533;2
37326527;176533;1
37475699;176533;2
38390624;176533;3
38399796;176533;1
39435402;176533;3
42270335;176533;9
44104076;176533;1
44797740;176533;3
45688573;176533;1
50220095;176533;1
1258636;203305;1
7416283;203305;3
11961286;203305;1
12996997;203305;1
29325235;203305;3
33892282;203305;4
34135057;203305;1
37157006;203305;1
51379989;203305;1
24488041;203899;1
29211362;203899;3
47020675;203899;2
47164495;203899;2
31632585;217050;3
7553648;239659;6
14161668;239659;1
15438920;239659;1
18857164;239659;1
25443214;239659;7
29340035;239659;1
33800547;239659;6
37358589;239659;6
41918777;239659;1
45138878;239659;7
43170266;240793;1
9716693;243056;1
26982222;243056;1
28468378;243056;1
31641127;243056;1
32733041;243056;1
39988957;243056;1
20156323;278429;1
33440320;278429;1
9557261;293815;1
16930419;293815;1
18416791;293815;1
20156323;293815;1
25214471;293815;1
33440320;293815;1
38184867;293815;1
38763717;293815;1
3987728;351584;1
9416104;351584;1
9836925;351584;1
12934123;351584;1
13256105;351584;1
13724093;351584;1
17952058;351584;1
17971548;351584;1
19947816;351584;1
20742911;351584;7
24040270;351584;3
25716732;351584;1
27279591;351584;4
27614608;351584;1
28937322;351584;1
32684475;351584;1
34720217;351584;1
37299367;351584;1
37490846;351584;4
40771974;351584;1
51070755;351584;1
14149677;351771;1
18257024;351771;1
10818383;413567;4
