Id;Label;Age;Pubs
9043998;9043998;0;1
37331638;37331638;0;1
27109969;27109969;3;4
24460600;24460600;8;12
1803188;1803188;0;1
9036278;9036278;0;1
9493052;9493052;1;2
18819086;18819086;2;6
21155567;21155567;0;1
11673208;11673208;10;19
42452922;42452922;0;1
50001380;50001380;7;22
36521390;36521390;8;17
44770300;44770300;8;20
45488561;45488561;4;4
45514854;45514854;11;11
47140790;47140790;8;8
46214428;46214428;18;35
2109387;2109387;0;1
45586815;45586815;2;6
2009970;2009970;0;1
9036978;9036978;0;1
11094175;11094175;0;1
21303678;21303678;0;1
23841052;23841052;1;3
9038686;9038686;0;1
45798408;45798408;0;1
31389263;31389263;13;10
1426054;1426054;0;1
8951050;8951050;5;11
35603451;35603451;3;9
46251330;46251330;0;1
36241706;36241706;1;2
19772234;19772234;0;1
45446586;45446586;0;2
8648285;8648285;5;10
16090786;16090786;7;8
4847412;4847412;9;5
44279301;44279301;0;1
14617186;14617186;5;3
21119938;21119938;3;2
45978433;45978433;19;67
24603055;24603055;2;4
16625972;16625972;22;60
29968589;29968589;8;18
38920051;38920051;2;2
1845188;1845188;5;15
17835781;17835781;21;334
6405972;6405972;10;13
5518511;5518511;0;1
28040535;28040535;9;24
2433201;2433201;5;7
15021832;15021832;0;1
19984154;19984154;26;83
32804293;32804293;8;11
12655500;12655500;4;3
3449323;3449323;7;10
46621197;46621197;0;2
10992597;10992597;7;4
38502358;38502358;12;22
1056014;1056014;5;4
25632025;25632025;2;4
22774516;22774516;9;39
19325265;19325265;0;1
22849223;22849223;13;33
26730323;26730323;5;3
22214336;22214336;21;100
15759647;15759647;11;22
7690011;7690011;5;3
39592716;39592716;4;20
32588216;32588216;1;4
2550488;2550488;0;1
13821959;13821959;1;2
41689230;41689230;3;4
19086136;19086136;0;1
961156;961156;24;14
34710466;34710466;6;12
23942977;23942977;8;24
36782532;36782532;0;1
49884036;49884036;0;1
27536202;27536202;4;11
21379715;21379715;3;4
3588712;3588712;7;11
50396154;50396154;18;64
38250717;38250717;1;3
17971548;17971548;13;30
36210296;36210296;0;1
34861589;34861589;3;15
35542630;35542630;15;38
42891423;42891423;1;2
8709346;8709346;0;1
21034834;21034834;1;2
42562048;42562048;31;151
33448536;33448536;1;2
44296826;44296826;1;3
48598614;48598614;2;2
31221194;31221194;15;59
41662739;41662739;3;6
22847777;22847777;8;4
14592532;14592532;8;7
28115762;28115762;1;4
49444809;49444809;0;1
49432534;49432534;0;1
32543101;32543101;0;2
12958256;12958256;5;3
16316739;16316739;2;8
28017044;28017044;17;125
4083702;4083702;3;8
37508293;37508293;2;3
36795257;36795257;0;1
21697617;21697617;0;1
45741062;45741062;3;5
33675193;33675193;0;1
6961158;6961158;0;1
41861458;41861458;4;5
