Source;Target;Weight
5405065;2901;1
12392841;2901;5
12587606;2901;1
13692131;2901;5
20130196;2901;2
28027050;286810;1
46542572;286810;1
40994916;351769;1
24635618;355607;1
28890452;375901;3
31573093;375901;1
33786312;375901;1
8463014;376049;1
13712718;376049;3
26384092;376049;2
33788660;376049;3
13530630;390309;1
29771559;459957;1
36331890;459957;1
37263995;459957;1
40046625;459957;3
8458971;610641;1
9616519;610641;1
24999141;610641;1
12240104;626828;1
22122362;626828;1
47857929;626828;1
49497855;626828;1
35498490;635599;4
44041213;635599;5
47282207;635599;5
16100259;656113;1
25223260;656113;1
38104459;656113;1
12392841;690950;1
23289778;690950;1
32496790;690950;1
51509105;690950;1
30980087;707843;1
12392841;711605;1
16549686;711605;3
26386591;711605;2
33449014;711605;4
33916285;711605;1
34404007;711605;1
48004202;711605;1
6647301;745911;1
12169030;745911;1
25369911;745911;1
45534835;745911;1
34101003;778557;1
45889592;778557;1
10029735;779669;1
16020022;779669;1
23220451;779669;1
43912302;779669;1
45323422;779669;1
7962624;951817;1
14589606;951817;1
50028606;951817;1
2403030;979453;2
6238047;979453;1
12392841;979453;2
13171335;979453;4
13171766;979453;1
13712718;979453;2
21460748;979453;7
24758137;979453;1
25711823;979453;2
26386591;979453;3
26579391;979453;1
27790208;979453;2
33449014;979453;4
33533833;979453;1
34404007;979453;10
34457665;979453;1
41010788;979453;2
41201274;979453;1
45868631;979453;1
12169030;1053906;1
23522193;1053906;1
27810395;1053906;1
31860785;1053906;1
32762861;1053906;2
35283296;1053906;1
35461633;1053906;1
47288421;1053906;1
6278922;1208448;1
10748214;1208448;1
17461436;1208448;1
48208085;1208450;1
7603397;1208451;1
8245170;1208451;1
24635618;1295987;1
30109504;1352538;1
36705211;1412403;1
27810395;1519619;1
32762861;1519619;1
35283296;1519619;1
47178873;1519619;1
47571636;1519619;1
30980087;1535739;1
51303176;1594954;1
11801949;1618441;1
20073701;1618441;1
20378085;1618441;1
29501066;1618441;1
44147876;1618441;1
8068591;1668513;1
25825202;1668513;1
43912302;1668513;1
45323422;1668513;1
15319867;1721561;1
22075384;1841064;1
3893002;1845188;3
12392841;1845188;4
20335701;1845188;1
32496790;1845188;4
29569366;1933444;1
2149568;1964069;1
7760069;1964069;1
14504226;1964069;2
22905588;1964069;1
22977124;1964069;1
37622965;1964069;1
12683829;2149567;2
1964069;2149568;1
22977124;2149568;1
44698959;2149568;1
27810395;2398006;2
32762861;2398006;2
43677091;2398006;1
979453;2403030;2
13712718;2403030;2
5027699;2445119;1
19224141;2445119;3
29360908;2445119;1
32245729;2445119;2
33916285;2445119;2
39170516;2445119;2
40844595;2445119;1
7680342;2470056;1
14589606;2470056;1
15834648;2470056;1
17963203;2470056;1
44680867;2470056;1
34604711;2501456;1
28604012;2502871;1
36399344;2502871;1
40822849;2502871;1
2543775;2530462;2
7962624;2530462;1
27530617;2530462;2
2530462;2543775;2
7962624;2543775;3
14305620;2543775;1
25190963;2543775;2
27530617;2543775;2
29191677;2543775;1
31588215;2543775;1
33831327;2543775;1
43453305;2543775;2
12622051;2660713;2
30893453;2660713;2
17533278;2743243;1
12948963;2816096;4
17032126;2816096;3
48503842;2816096;2
34604711;2890961;1
12206522;2968938;1
14589606;2968938;2
15282793;2968938;1
18060412;2968938;1
27530617;2968938;5
37070344;2968938;1
38633081;2968938;1
27178856;3015204;1
27483362;3015204;1
35156155;3015204;1
37623249;3015204;1
40957959;3015204;2
43499954;3015204;1
13948009;3033341;1
37953533;3033341;1
44041213;3033341;1
5790895;3060053;1
12206522;3060053;1
12598487;3192542;2
19041624;3192542;2
19734065;3259897;1
40046625;3259897;1
22076760;3305197;1
36276371;3305197;1
40994916;3305197;1
16730170;3327157;1
23480274;3327157;1
49659478;3327157;1
12392841;3327160;1
4689487;3389506;1
12188642;3389506;4
23289778;3439113;2
34604711;3439113;1
8403152;3520350;1
40844595;3520350;1
3584327;3529719;1
3529719;3584327;1
5790895;3584327;2
12206522;3584327;2
17638739;3584327;1
28532046;3584327;1
33969394;3584327;1
37318888;3584327;1
42312977;3584327;2
44364887;3584327;2
46679598;3584327;2
14061698;3629099;1
46355406;3629099;1
39441621;3794595;3
39586412;3794595;2
45683632;3794595;1
48864659;3794595;1
21460748;3821621;2
27790208;3821621;1
40136242;3821621;1
45683632;3821621;1
1845188;3893002;3
12392841;3893002;3
18060412;3893002;1
32496790;3893002;4
33916285;3893002;1
8458971;3942613;1
15396766;3942613;2
23480274;3942613;1
26638158;3942613;1
28707323;3942613;1
34188917;3942613;1
45723113;3942613;1
50975372;3942613;1
51251455;3942613;1
36431284;3975446;1
12392841;3991771;1
51114439;3991771;1
5790895;3994091;1
7962624;3994091;1
7988230;3994091;1
22422173;4003908;1
42426239;4003908;1
21010252;4004446;1
32762861;4004446;5
40784805;4004446;1
45586815;4004446;5
4199114;4026214;2
31440628;4026214;2
32364308;4026214;2
33456338;4026214;1
15644769;4035789;1
21022844;4035789;1
22076760;4035789;1
23568907;4035789;1
36276371;4035789;1
40994916;4035789;1
8948823;4114573;1
13171693;4114573;1
18775612;4114573;2
26579391;4114573;1
27790208;4114573;2
32774490;4114573;1
34339042;4114573;1
13171715;4114577;1
26579391;4114577;1
22332734;4114578;1
39467779;4114578;1
40589000;4114578;1
4822312;4147127;1
8458971;4147127;1
11854107;4147127;1
44958261;4147127;1
51009352;4147127;1
8395578;4161431;1
19936635;4161431;1
4026214;4199114;2
32364308;4199114;3
13712718;4531309;1
3389506;4689487;1
12188642;4689487;1
16020022;4707174;1
43912302;4707174;2
42766465;4726853;3
28622814;4755614;1
32046459;4755614;1
4147127;4822312;1
8458971;4822312;1
11854107;4822312;1
44958261;4822312;1
51009352;4822312;1
8395578;4927747;1
11196078;4927747;1
16100258;4927747;1
33012950;4927747;1
43652652;4927747;1
7990466;5026398;1
13712718;5026398;1
23606719;5026398;1
39131385;5026398;1
41201274;5026398;1
2445119;5027699;1
