Id;Label;Age;Pubs
27743357;27743357;28;12
45514854;45514854;11;11
25461080;25461080;0;1
20201556;20201556;1;2
22075384;22075384;0;1
45586815;45586815;2;6
39059060;39059060;31;61
48199417;48199417;0;1
28189489;28189489;0;1
41217597;41217597;0;1
31399309;31399309;0;2
10904541;10904541;30;11
18387304;18387304;6;2
19941429;19941429;0;1
25284618;25284618;0;1
12832681;12832681;7;9
22825035;22825035;0;1
37931458;37931458;9;17
22758359;22758359;9;4
31677791;31677791;0;1
7921625;7921625;0;1
37195965;37195965;0;1
48387048;48387048;19;8
11591556;11591556;0;1
29677151;29677151;4;4
8068591;8068591;3;3
15997916;15997916;0;1
31276354;31276354;4;3
20006179;20006179;0;1
51009352;51009352;12;51
47880133;47880133;0;1
48384427;48384427;26;127
28721525;28721525;10;7
4726853;4726853;8;5
44516965;44516965;0;1
26638158;26638158;27;16
46355406;46355406;25;30
14592532;14592532;8;7
43912302;43912302;22;47
50263762;50263762;0;1
28603911;28603911;2;2
15319867;15319867;3;4
43994647;43994647;14;8
31686388;31686388;9;9
51303176;51303176;17;6
39688863;39688863;0;1
2470056;2470056;4;12
47548065;47548065;0;1
2968938;2968938;9;10
46936727;46936727;9;20
26893044;26893044;0;2
30113617;30113617;8;11
18939139;18939139;16;13
42789143;42789143;2;2
37416952;37416952;0;1
29404626;29404626;3;4
33283559;33283559;1;2
10748217;10748217;0;1
7134753;7134753;12;14
31934467;31934467;0;1
21726584;21726584;0;1
11406152;11406152;0;1
50563463;50563463;0;1
5580658;5580658;7;8
5927504;5927504;0;1
8245170;8245170;0;1
6924014;6924014;0;1
3584327;3584327;37;58
4147127;4147127;10;5
32594078;32594078;28;28
27790208;27790208;25;25
51330433;51330433;19;36
35542630;35542630;15;38
41805379;41805379;19;5
48208085;48208085;10;12
19931735;19931735;10;11
34655122;34655122;0;1
28472873;28472873;23;176
15997915;15997915;21;11
7761029;7761029;4;4
976155;976155;5;5
24221121;24221121;0;1
2816096;2816096;4;4
38025760;38025760;0;2
11844796;11844796;0;1
47140790;47140790;8;8
37333467;37333467;0;1
26013810;26013810;4;5
33873897;33873897;0;1
30141371;30141371;8;7
34188917;34188917;2;2
43652652;43652652;0;3
27914634;27914634;0;1
17550963;17550963;19;24
4114577;4114577;0;1
47834260;47834260;0;1
32600053;32600053;0;1
16984744;16984744;0;2
50686941;50686941;0;1
9881771;9881771;12;4
10748214;10748214;0;1
38963989;38963989;1;4
30297323;30297323;3;3
5759335;5759335;0;1
23974587;23974587;5;5
36681811;36681811;6;3
51496827;51496827;0;1
31838662;31838662;3;2
13661612;13661612;0;1
21722074;21722074;0;1
40906873;40906873;0;1
35411041;35411041;0;2
16226972;16226972;12;16
36829462;36829462;10;4
22905053;22905053;14;30
13171693;13171693;0;1
9417798;9417798;0;3
14740514;14740514;0;2
47566152;47566152;0;1
41010788;41010788;3;4
3439113;3439113;11;9
33060092;33060092;0;1
15536048;15536048;12;6
40973442;40973442;32;9
17572124;17572124;0;1
50833311;50833311;29;25
40589000;40589000;3;3
13670368;13670368;13;14
3060053;3060053;5;3
36789409;36789409;13;10
16100259;16100259;0;1
22154407;22154407;5;3
36762743;36762743;0;1
1845188;1845188;5;15
42654418;42654418;10;14
25727423;25727423;10;11
43907824;43907824;0;1
24999141;24999141;0;1
9417800;9417800;0;1
14061698;14061698;0;1
48541756;48541756;7;9
29715462;29715462;2;6
43081854;43081854;0;1
34750427;34750427;7;17
39566113;39566113;0;1
25270235;25270235;15;19
19416277;19416277;10;10
13632177;13632177;0;1
26274186;26274186;9;13
23467890;23467890;5;7
15644769;15644769;10;38
9174405;9174405;8;10
26956335;26956335;2;2
13290054;13290054;1;3
2501456;2501456;0;1
26041806;26041806;14;58
28030362;28030362;0;1
22172321;22172321;1;4
10438662;10438662;7;5
28523306;28523306;11;22
12969229;12969229;0;1
32762861;32762861;18;121
45736350;45736350;5;5
19426151;19426151;2;2
33449014;33449014;15;23
29161082;29161082;7;5
45302072;45302072;1;3
39459252;39459252;0;1
49332887;49332887;26;31
29360908;29360908;20;19
25636656;25636656;11;5
37616546;37616546;10;4
32821174;32821174;0;3
35091299;35091299;1;2
18041065;18041065;34;34
1208450;1208450;0;1
41626580;41626580;16;11
46247591;46247591;1;2
7175425;7175425;12;15
46528489;46528489;9;16
10916176;10916176;5;5
15571951;15571951;3;3
1933444;1933444;0;1
26615337;26615337;9;14
21443728;21443728;7;8
45858391;45858391;0;1
44096661;44096661;0;1
31003759;31003759;0;1
778557;778557;0;1
48900660;48900660;0;1
10395325;10395325;1;4
1618441;1618441;19;43
12093333;12093333;24;80
39083963;39083963;8;12
19002000;19002000;0;1
16342091;16342091;0;1
39467779;39467779;9;12
20866468;20866468;3;2
16418453;16418453;12;14
25235510;25235510;4;3
3893002;3893002;3;6
6238047;6238047;0;1
3192542;3192542;0;2
12188642;12188642;24;27
19307225;19307225;13;14
34888669;34888669;0;1
17549069;17549069;8;6
33569008;33569008;4;2
3821621;3821621;1;3
22332734;22332734;4;5
28890452;28890452;6;8
20335701;20335701;7;5
26992955;26992955;14;11
50849161;50849161;3;2
44121861;44121861;0;1
18775615;18775615;0;1
1721561;1721561;18;42
34534349;34534349;0;1
35559959;35559959;6;9
22122362;22122362;14;61
4035789;4035789;0;1
47857929;47857929;1;3
42802441;42802441;0;1
37739179;37739179;0;1
34586176;34586176;7;4
18840015;18840015;9;13
51556910;51556910;2;4
24253958;24253958;0;1
8305567;8305567;26;22
5187238;5187238;0;1
47178873;47178873;0;1
37263995;37263995;9;13
44015941;44015941;13;23
14422896;14422896;5;5
13712718;13712718;15;40
36399344;36399344;11;7
11080732;11080732;0;1
18853078;18853078;11;25
33788660;33788660;13;45
10050206;10050206;1;3
3015204;3015204;12;11
36872315;36872315;9;8
6318608;6318608;9;17
4243727;4243727;26;27
12134494;12134494;0;1
17533268;17533268;2;2
15169955;15169955;9;8
15347172;15347172;1;2
21010252;21010252;0;1
34148356;34148356;0;3
37020215;37020215;0;1
44876347;44876347;7;3
29969375;29969375;1;4
22181335;22181335;6;5
51009367;51009367;3;7
27102202;27102202;17;9
31128490;31128490;11;12
44746556;44746556;36;53
9046687;9046687;0;1
25815061;25815061;0;1
29501066;29501066;28;26
27151564;27151564;0;1
51039109;51039109;26;25
42766475;42766475;3;2
12387729;12387729;0;1
39835128;39835128;3;7
31573093;31573093;0;1
14697194;14697194;0;1
16549686;16549686;36;107
51104283;51104283;23;30
10065382;10065382;0;1
