id	label	cluster	weight<Pubs. 2008-2017>	weight<Acad. age>
1010450	1010450	1	13	8
1296328	1296328	1	3	7
2479649	2479649	1	1	0
6194746	6194746	1	74	20
6557623	6557623	1	52	17
7513974	7513974	3	46	35
7598474	7598474	1	12	4
7847213	7847213	3	190	25
8014871	8014871	3	92	18
9756125	9756125	1	5	3
10038459	10038459	3	6	5
10365531	10365531	1	5	5
10591688	10591688	1	1	0
12100688	12100688	1	85	22
14485170	14485170	1	7	4
14827273	14827273	1	1	0
15646529	15646529	1	1	0
16010940	16010940	1	7	3
17687800	17687800	1	2	2
17709220	17709220	1	1	0
17835781	17835781	3	334	21
17977947	17977947	1	86	25
19122405	19122405	2	42	15
19195734	19195734	2	32	11
19311742	19311742	1	4	2
19882354	19882354	1	28	13
20478332	20478332	1	1	0
20915160	20915160	1	11	13
23121689	23121689	1	1	0
23254357	23254357	1	5	5
25588388	25588388	1	49	29
25706166	25706166	1	82	35
27770935	27770935	3	9	5
28482485	28482485	1	3	2
29132348	29132348	1	52	22
30802149	30802149	1	1	0
30891085	30891085	3	374	33
31029316	31029316	1	3	1
31484037	31484037	1	27	12
33326481	33326481	1	36	14
33642640	33642640	1	69	25
34074374	34074374	2	5	4
34348001	34348001	3	2	1
34982892	34982892	1	19	18
35386223	35386223	1	11	4
36230764	36230764	2	15	7
41462525	41462525	1	1	0
42103349	42103349	1	130	20
43204348	43204348	1	341	31
43353706	43353706	2	15	6
43383961	43383961	1	369	32
43581697	43581697	2	14	7
43848023	43848023	2	13	10
44904659	44904659	1	1	0
45300596	45300596	1	7	3
46044303	46044303	1	5	1
46268944	46268944	1	13	3
46602081	46602081	1	21	6
46790804	46790804	1	12	5
47814375	47814375	1	1	0
48066140	48066140	3	11	5
48726014	48726014	1	3	1
51085575	51085575	1	39	12
